epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0.017806267806267807,0.019230769230769232,-0.00181571453145013,-0.003215434083601476,0.01,0.001,12,24,35,47,59,71,83,94,106,118
1,0.08831908831908832,0.09935897435897435,-0.07375055720056611,-0.06843129907046053,0.01,0.001,12,24,36,47,59,71,83,94,106,118
2,0.34971509971509973,0.3766025641025641,-0.018247157594720953,0.005763015937380933,0.02,0.001,12,24,36,47,59,71,83,94,106,118
3,0.37464387464387466,0.38782051282051283,0.0,0.0,0.02,0.001,12,24,36,47,59,71,83,94,106,118
4,0.37464387464387466,0.38782051282051283,0.0,0.0,0.03,0.001,12,24,36,47,59,71,83,94,106,118
5,0.37464387464387466,0.38782051282051283,0.0,0.0,0.03,0.001,12,24,36,47,59,71,83,94,106,118
6,0.37464387464387466,0.38782051282051283,0.0,0.0,0.04,0.001,12,24,36,47,59,71,83,94,106,118
7,0.37464387464387466,0.38782051282051283,0.0,0.0,0.04,0.001,12,24,36,47,59,71,83,94,106,118
8,0.37464387464387466,0.38782051282051283,0.0,0.0,0.05,0.001,12,24,36,47,59,71,83,94,106,118
9,0.37464387464387466,0.38782051282051283,0.0,0.0,0.06,0.001,12,24,36,47,59,71,83,94,106,118
10,0.37464387464387466,0.38782051282051283,0.0,0.0,0.06,0.001,12,23,36,47,59,71,83,94,106,118
11,0.37464387464387466,0.38782051282051283,0.0,0.0,0.07,0.001,12,23,36,47,59,71,83,94,106,118
12,0.37464387464387466,0.38782051282051283,0.0,0.0,0.07,0.001,12,23,36,47,59,71,83,94,106,118
13,0.37464387464387466,0.38782051282051283,0.0,0.0,0.08,0.001,12,23,36,47,59,71,83,94,106,118
14,0.37464387464387466,0.38782051282051283,0.0,0.0,0.08,0.001,12,23,36,47,59,71,83,94,106,118
15,0.37464387464387466,0.38782051282051283,0.0,0.0,0.09,0.001,12,23,36,47,58,71,83,94,106,118
16,0.37464387464387466,0.38782051282051283,0.0,0.0,0.09,0.001,12,24,36,47,58,71,83,94,106,118
17,0.37464387464387466,0.38782051282051283,0.0,0.0,0.1,0.001,12,24,36,47,58,71,83,94,106,118
18,0.37464387464387466,0.38782051282051283,0.0,0.0,0.1,0.001,12,24,36,47,58,71,83,94,106,118
19,0.37464387464387466,0.38782051282051283,0.0,0.0,0.11,0.001,12,24,36,47,58,71,83,94,106,118
20,0.37464387464387466,0.38782051282051283,0.0,0.0,0.11,0.001,12,24,36,47,58,71,83,94,106,118
21,0.37464387464387466,0.38782051282051283,0.0,0.0,0.12,0.001,12,24,36,47,58,71,83,94,106,118
22,0.37464387464387466,0.38782051282051283,0.0,0.0,0.12,0.001,12,24,36,47,58,71,83,94,106,118
