epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0.19853988603988604,0.21634615384615385,0.0023000573494753596,0.007306868977363656,0.01,0.001,8,16,24,32,41,49,57,65,73,81,89,97,105,113,122
1,0.2501780626780627,0.26121794871794873,0.05747702176943725,0.05786488150603275,0.01,0.001,8,16,24,32,41,49,57,65,73,81,89,97,105,113,122
2,0.2987891737891738,0.30448717948717946,0.09489196396561583,0.09329654950750299,0.02,0.001,8,16,24,33,41,49,57,65,73,81,89,97,105,113,122
3,0.3315527065527066,0.33814102564102566,0.09684928056259545,0.10355430948720279,0.02,0.001,8,16,25,33,41,49,57,65,73,81,89,97,105,113,122
4,0.3238960113960114,0.328525641025641,0.06249345471763734,0.07163958641063528,0.03,0.001,8,16,25,33,41,49,57,65,73,81,89,97,105,113,122
5,0.30644586894586895,0.2932692307692308,0.026860378261675977,0.011665325824617767,0.03,0.001,8,16,25,33,41,49,57,65,73,81,89,97,105,113,122
6,0.29611823361823364,0.2900641025641026,0.006364267862130291,0.003245207909653436,0.04,0.001,8,16,25,33,41,49,57,65,73,81,89,97,105,113,122
7,0.29451566951566954,0.28846153846153844,0.0018414078102823028,-0.0013517323136307269,0.04,0.001,8,16,25,33,41,48,57,65,73,81,89,97,105,113,122
8,0.29398148148148145,0.28846153846153844,0.0004937509089504299,-0.0017137774692495,0.05,0.001,8,16,25,33,41,48,57,65,73,81,89,97,105,113,122
9,0.29433760683760685,0.2900641025641026,0.0006278347872199497,0.0,0.06,0.001,8,16,25,33,41,48,57,65,73,81,89,97,105,113,122
10,0.29415954415954415,0.2900641025641026,0.00032628185525329645,0.0,0.06,0.001,8,16,25,33,41,48,57,65,73,81,90,97,105,113,121
11,0.29398148148148145,0.2900641025641026,0.0,0.0,0.07,0.001,8,16,25,33,41,48,57,65,73,81,90,97,105,113,121
12,0.29398148148148145,0.2900641025641026,0.0,0.0,0.07,0.001,8,16,25,33,41,48,57,65,73,82,90,97,105,113,121
13,0.29398148148148145,0.2900641025641026,0.0,0.0,0.08,0.001,8,16,25,33,41,48,57,65,73,82,90,97,105,113,121
14,0.29398148148148145,0.2900641025641026,0.0,0.0,0.08,0.001,8,16,25,33,41,48,57,65,73,82,90,97,105,113,121
15,0.29451566951566954,0.2900641025641026,0.0006965745508576981,0.0,0.09,0.001,8,16,25,33,41,48,57,65,73,82,90,97,105,113,121
16,0.29451566951566954,0.2900641025641026,0.0006965745508576981,0.0,0.09,0.001,8,16,25,33,41,48,57,65,72,82,90,97,105,113,121
17,0.29451566951566954,0.2900641025641026,0.0006965745508576981,0.0,0.1,0.001,8,16,25,33,41,48,57,65,72,82,90,97,105,113,121
18,0.2952279202279202,0.2900641025641026,0.0016054709621039498,0.0,0.1,0.001,8,16,25,33,41,48,57,65,72,82,90,97,106,113,121
19,0.29576210826210825,0.2900641025641026,0.0022822657066129404,0.0,0.11,0.001,8,16,25,33,41,48,57,65,72,82,90,97,106,113,121
20,0.29754273504273504,0.2932692307692308,0.004525732657004622,0.004168837936425196,0.11,0.001,8,16,25,33,41,48,58,65,72,82,90,97,106,113,121
21,0.3018162393162393,0.2980769230769231,0.009788108680976904,0.009394572025052117,0.12,0.001,8,16,25,33,41,48,58,65,72,82,90,97,106,113,121
22,0.32549857549857547,0.32371794871794873,0.039658763757155935,0.042081368954077214,0.12,0.001,8,16,25,33,41,48,58,65,73,82,90,97,106,113,121
23,0.4166666666666667,0.40384615384615385,0.15740015260029627,0.145733969263381,0.13,0.001,8,16,25,33,41,48,58,65,73,82,90,97,106,113,121
24,0.48201566951566954,0.4855769230769231,0.23326657343371504,0.2440217391304348,0.13,0.001,8,16,25,33,41,48,58,65,73,82,90,97,106,113,121
25,0.4398148148148148,0.4326923076923077,0.1500373315270518,0.14556256962495373,0.14,0.001,8,16,25,33,41,48,58,65,73,82,90,97,106,113,121
26,0.40687321937321935,0.4150641025641026,0.07519254858219948,0.09446564885496189,0.14,0.001,8,16,25,33,41,48,58,65,73,82,90,97,106,113,121
27,0.37624643874643876,0.3766025641025641,0.006049638991084794,0.016912908242612823,0.15,0.001,8,16,25,33,41,48,58,65,73,82,90,97,106,113,121
28,0.3733974358974359,0.36698717948717946,0.0,0.0,0.16,0.001,8,16,25,33,41,48,58,65,73,82,90,97,106,113,121
29,0.3733974358974359,0.36698717948717946,0.00015117102907402646,0.0,0.16,0.001,8,16,25,33,41,48,58,65,73,82,90,97,106,113,121
30,0.37232905982905984,0.36698717948717946,0.0009634885674300042,0.001984046645341575,0.17,0.001,8,16,25,33,41,48,58,65,73,82,90,96,106,113,121
31,0.37589031339031337,0.3701923076923077,0.017007636387389002,0.014855581890491298,0.17,0.001,8,16,25,33,41,48,58,65,73,82,90,96,106,113,121
32,0.38782051282051283,0.38621794871794873,0.05053236217977275,0.05407395093685441,0.18,0.001,8,16,25,33,41,48,58,65,73,82,90,96,106,113,121
33,0.4017094017094017,0.3974358974358974,0.0846269509045281,0.08624839350391411,0.18,0.001,8,16,25,33,41,48,58,65,73,82,90,96,106,113,121
34,0.41061253561253563,0.41025641025641024,0.10820193088202268,0.1138073957440896,0.19,0.001,8,16,25,33,41,48,58,65,73,82,90,96,106,113,121
35,0.42165242165242167,0.42788461538461536,0.1321220093726877,0.14482483281764646,0.19,0.001,8,16,25,33,41,48,58,65,73,82,90,96,106,113,121
36,0.42450142450142453,0.4375,0.142048622553827,0.16609937178754997,0.2,0.001,8,16,25,33,41,48,58,65,73,82,90,96,106,113,121
37,0.4310897435897436,0.4391025641025641,0.1559632820376189,0.1715662102188673,0.2,0.001,8,16,25,33,41,48,58,65,73,82,90,96,106,113,121
38,0.43482905982905984,0.4375,0.16522642197586557,0.1719695136704572,0.21,0.001,8,16,25,34,41,48,58,65,73,82,90,96,106,113,121
39,0.43643162393162394,0.4407051282051282,0.17057240482598057,0.18033181777122032,0.22,0.001,8,16,25,34,41,48,58,65,73,82,90,96,106,113,121
