epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
0,0.06000712250712251,0.049679487179487176,-0.018270844732132252,-0.024145604304360857,0.01,0.001,6,12,19,25,31,37,43,50,56,62,68,74,80,87,93,99,105,111,117,124
1,0.0998931623931624,0.08814102564102565,-0.0013724882248551395,-0.007491146826478001,0.01,0.001,6,12,19,25,31,37,43,50,56,62,68,74,80,87,93,99,105,111,117,124
2,0.11164529914529915,0.10256410256410256,-0.003472514338264343,-0.004952288923782966,0.02,0.001,6,13,19,25,31,37,43,50,56,62,68,74,80,87,93,99,105,111,117,123
3,0.25623219373219375,0.2516025641025641,0.08575528152155232,0.08358805992678964,0.03,0.001,6,13,19,25,31,37,43,50,56,62,68,74,80,87,93,99,105,111,117,123
4,0.3299501424501424,0.3157051282051282,0.1345051685785319,0.11410788381742742,0.03,0.001,6,13,19,25,31,37,43,50,56,62,68,74,80,87,93,99,105,111,117,123
5,0.3678774928774929,0.358974358974359,0.1444781015179154,0.12828464858974897,0.04,0.001,6,13,19,25,31,37,43,50,56,62,68,74,80,87,93,99,105,111,117,123
6,0.3993945868945869,0.40224358974358976,0.12247447162986314,0.11895433743285744,0.04,0.001,6,13,19,25,31,37,43,50,56,62,68,74,80,87,93,99,105,111,117,123
7,0.375,0.3894230769230769,0.001154095457922999,0.0033453228362300136,0.05,0.001,6,13,19,25,31,37,43,50,56,62,68,74,80,87,93,99,105,111,117,123
8,0.37464387464387466,0.38782051282051283,0.0,0.0,0.05,0.001,6,13,19,25,31,37,43,50,56,62,68,74,80,87,93,99,105,111,117,123
9,0.37464387464387466,0.38782051282051283,0.0,0.0,0.06,0.001,6,13,19,25,31,37,43,50,56,62,68,74,80,87,93,99,105,111,117,123
10,0.37464387464387466,0.38782051282051283,0.0,0.0,0.06,0.001,6,13,19,25,31,37,43,50,56,61,68,74,80,87,93,99,105,111,117,123
11,0.37446581196581197,0.391025641025641,-0.00022068827059329443,0.005777826229150906,0.07,0.001,6,13,19,25,31,37,43,50,56,61,68,74,80,87,93,99,105,111,117,123
12,0.3748219373219373,0.3894230769230769,0.0008605628272428945,0.00343305541932315,0.07,0.001,6,13,19,25,31,37,43,50,56,61,68,74,80,87,93,99,105,111,117,123
13,0.37428774928774927,0.3926282051282051,0.0012851708290360087,0.010013060513713534,0.08,0.001,6,13,19,25,31,37,43,50,56,61,68,74,80,87,93,99,105,111,117,123
14,0.379985754985755,0.391025641025641,0.01242087715803808,0.010362975421843723,0.08,0.001,6,13,19,25,31,37,43,50,56,61,68,74,80,87,93,99,105,111,117,123
15,0.3821225071225071,0.39903846153846156,0.020572307849425764,0.03152910793070052,0.09,0.001,6,13,19,25,31,37,43,50,56,61,68,74,80,87,93,99,105,111,117,123
16,0.37927350427350426,0.38621794871794873,0.024252664513587763,0.020094877671765765,0.1,0.001,6,13,19,25,31,37,43,49,56,61,68,74,80,87,93,99,105,111,117,123
17,0.3766025641025641,0.3814102564102564,0.027259143482523784,0.02206270452866055,0.1,0.001,6,13,19,25,31,37,43,49,56,61,69,74,80,87,93,99,105,111,117,123
18,0.37606837606837606,0.3798076923076923,0.03136853648297,0.02824858757062143,0.11,0.001,6,13,19,25,31,37,43,49,56,61,69,74,80,87,93,99,105,111,117,123
19,0.3764245014245014,0.3814102564102564,0.034442555115584916,0.034295840717189385,0.11,0.001,6,13,19,25,31,37,43,49,56,61,69,74,80,87,93,99,105,111,117,123
20,0.37749287749287747,0.38301282051282054,0.03601715334941391,0.036797664964036136,0.12,0.001,6,13,19,25,31,37,43,49,56,61,69,74,80,87,93,99,105,111,117,123
21,0.37802706552706555,0.38301282051282054,0.03580798801329599,0.03554094253953344,0.12,0.001,6,13,19,25,31,37,43,49,56,61,69,73,81,87,93,99,105,111,117,123
22,0.37784900284900286,0.38301282051282054,0.03415291078629035,0.0335233512891584,0.13,0.001,6,13,19,25,31,38,43,49,56,61,69,73,81,87,93,99,105,112,117,123
23,0.37749287749287747,0.3814102564102564,0.03179432959517736,0.027707808564231717,0.13,0.001,6,13,19,25,31,38,43,49,56,61,69,73,81,87,93,99,105,112,117,123
24,0.37749287749287747,0.3814102564102564,0.028931540281350254,0.02335143113172744,0.14,0.001,6,13,19,25,31,38,43,49,56,61,68,73,81,87,92,99,105,112,117,123
25,0.3773148148148148,0.38621794871794873,0.025610386687635822,0.02529028153332269,0.15,0.001,6,13,19,25,31,38,43,49,56,61,68,73,81,87,92,99,105,112,117,123
26,0.3798076923076923,0.391025641025641,0.024949162640370393,0.028029414899285898,0.15,0.001,6,13,19,25,31,38,42,49,56,61,68,73,81,87,92,99,105,112,117,123
27,0.38265669515669515,0.3974358974358974,0.024309343095715974,0.03025092687120512,0.16,0.001,6,13,19,25,32,38,42,49,56,61,68,73,81,87,92,98,105,112,117,123
28,0.385505698005698,0.40224358974358976,0.024324902036376717,0.033835195078517066,0.16,0.001,6,13,19,25,32,38,42,49,56,61,68,73,81,87,92,98,105,112,117,123
29,0.3833689458689459,0.3974358974358974,0.018227218400107215,0.02157649354873692,0.17,0.001,6,13,19,25,32,38,42,49,57,61,68,73,81,87,92,98,105,112,117,123
30,0.37945156695156695,0.3926282051282051,0.010117790447782604,0.01108936725375087,0.17,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,87,92,98,105,112,117,123
31,0.37749287749287747,0.3926282051282051,0.005829056079371897,0.009204291705244949,0.18,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
32,0.3751780626780627,0.391025641025641,0.001472313916358603,0.006319459577249886,0.18,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
33,0.3751780626780627,0.391025641025641,0.0013018800254385177,0.006319459577249886,0.19,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
34,0.37446581196581197,0.3894230769230769,-0.00013530133493100394,0.00343305541932315,0.19,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
35,0.37375356125356124,0.38782051282051283,0.00028475841948039093,0.0012444220979197507,0.2,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
36,0.380519943019943,0.39903846153846156,0.028616782273055197,0.03706873847774561,0.2,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
37,0.40153133903133903,0.4198717948717949,0.0847890312247277,0.09800664451827246,0.21,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
38,0.4166666666666667,0.4407051282051282,0.12198738207531978,0.14582908423414243,0.22,0.001,7,13,19,25,32,38,42,49,57,62,68,73,81,88,92,98,105,112,117,123
39,0.42735042735042733,0.45032051282051283,0.14752786679858598,0.16958174904942958,0.23,0.001,7,13,19,25,32,38,42,49,57,62,68,73,81,88,92,98,105,112,117,123
40,0.4342948717948718,0.44551282051282054,0.16311745833195934,0.16719126087761527,0.23,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
41,0.43803418803418803,0.44711538461538464,0.1732800175530117,0.17440058905643596,0.24,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
42,0.44052706552706555,0.45032051282051283,0.1794154822880326,0.18250360943265065,0.25,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
43,0.45067663817663817,0.46153846153846156,0.19771547455914862,0.2019458052139358,0.25,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
44,0.4650997150997151,0.47596153846153844,0.22126918922042782,0.2255390536339863,0.26,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
45,0.48201566951566954,0.4935897435897436,0.24839358933708056,0.2554739564651022,0.26,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
46,0.4967948717948718,0.5064102564102564,0.27153892868852125,0.2757447289582273,0.27,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
47,0.5080128205128205,0.5160256410256411,0.2890528210985299,0.2914156796390299,0.28,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
48,0.5176282051282052,0.5336538461538461,0.3038982354754143,0.3190914920184942,0.28,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
49,0.5242165242165242,0.5368589743589743,0.3141413571707834,0.3244299259381357,0.29,0.001,7,13,19,25,32,38,42,49,57,61,68,73,81,88,92,98,105,112,117,123
