epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
0,0.016263100831225154,0.015167930660888408,-0.024600537319255933,-0.025649582836710483,0.01,0.001,8,15,23,31,38,46,53,61,69,76,84,91,99,107,114,122,129,137,145,152,160,168,175,183,190
1,0.015058426695578846,0.014084507042253521,-0.02194524633799433,-0.022960059823792678,0.02,0.001,8,15,23,31,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,168,175,183,190
2,0.004216359474762077,0.0010834236186348862,-0.0008075033886396632,-0.0025292775360807873,0.03,0.001,8,15,23,31,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
3,0.13733285146367907,0.13759479956663057,0.05286721541296846,0.050860507597425664,0.03,0.001,8,15,23,31,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
4,0.1385375255993254,0.13976164680390032,0.04285217886531756,0.041677236790831906,0.04,0.001,8,15,23,31,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
5,0.13757378629080833,0.13976164680390032,0.03637637155593976,0.03684087402450276,0.05,0.001,8,15,23,30,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
6,0.13709191663654982,0.13867822318526543,0.03066772674705409,0.03082842221770221,0.05,0.001,8,15,23,30,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
7,0.12299722924948801,0.12351029252437704,0.006014055055029388,0.005406478183615171,0.06,0.001,8,15,23,30,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
8,0.1672087700277075,0.1722643553629469,0.03379201576729951,0.04301968320142446,0.07,0.001,8,15,23,30,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
9,0.224792193711601,0.22426868905742145,0.07159015489830689,0.07780627551888997,0.07,0.001,8,15,23,30,38,46,54,61,69,76,84,91,99,107,114,121,129,138,145,152,160,167,175,183,190
10,0.23358631490181905,0.2199349945828819,0.06799308665007442,0.061705804615228343,0.08,0.001,8,15,23,30,38,46,54,61,69,76,84,91,99,107,114,121,129,138,145,153,160,167,175,183,190
11,0.23948921816648597,0.22426868905742145,0.06425962522218254,0.05856577110459005,0.09,0.001,8,16,23,30,38,46,54,61,69,76,84,91,99,107,114,121,129,138,145,153,160,167,175,183,190
12,0.27189495241537165,0.2589382448537378,0.08792264088732527,0.0851189009810599,0.1,0.001,8,16,23,30,38,46,54,61,69,76,84,91,98,107,114,121,129,138,145,153,160,167,175,183,190
13,0.33779062763522466,0.3250270855904659,0.15275468008719362,0.1516343861388476,0.1,0.001,8,16,23,30,38,46,54,61,69,76,84,91,98,107,114,121,129,138,145,153,160,167,175,183,190
14,0.35308998915793277,0.3434452871072589,0.16871686893064253,0.1710760311570062,0.11,0.001,8,16,23,30,38,46,53,61,69,76,84,91,98,107,114,121,129,138,145,153,160,167,175,183,190
15,0.35610167449704855,0.3466955579631636,0.17191227640746154,0.17457042940745515,0.12,0.001,8,16,23,30,38,46,53,61,69,76,84,91,98,107,114,121,129,138,145,153,160,167,175,183,190
16,0.3575472834598241,0.3466955579631636,0.17400981615009514,0.17457042940745515,0.12,0.001,8,16,23,30,38,46,53,61,69,76,84,91,98,108,113,121,129,138,145,153,160,167,175,183,190
17,0.35790868570051804,0.3466955579631636,0.1745840727815754,0.17457042940745515,0.13,0.001,8,16,23,30,38,46,53,62,69,76,84,91,98,108,113,121,129,138,145,153,161,167,175,182,190
18,0.35839055535477654,0.3466955579631636,0.17533935385557542,0.17457042940745515,0.14,0.001,8,16,23,30,38,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
19,0.3585110227683412,0.3466955579631636,0.17552436376837988,0.17457042940745515,0.15,0.001,8,16,23,30,38,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
20,0.35839055535477654,0.3466955579631636,0.1753412766283512,0.17457042940745515,0.15,0.001,8,16,23,30,38,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
21,0.35839055535477654,0.3466955579631636,0.1753412766283512,0.17457042940745515,0.16,0.001,8,16,23,30,38,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
22,0.3585110227683412,0.3466955579631636,0.1755111998152965,0.17457042940745515,0.17,0.001,8,16,23,30,38,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
23,0.3585110227683412,0.3466955579631636,0.17552628603943898,0.17457042940745515,0.17,0.001,8,16,23,30,37,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
24,0.35887242500903505,0.3466955579631636,0.17605108365476096,0.17468058982632617,0.18,0.001,8,16,23,30,37,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
25,0.3589928924225997,0.3466955579631636,0.17628125822187268,0.17468058982632617,0.19,0.001,8,16,23,30,37,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
26,0.3594747620768582,0.3477789815817985,0.17706608746111052,0.17615922711273346,0.19,0.001,8,16,23,30,37,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
27,0.3594747620768582,0.3477789815817985,0.17718648796231817,0.17615922711273346,0.2,0.001,8,16,23,30,37,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
28,0.360197566558246,0.3477789815817985,0.1784905969912518,0.17648889626634734,0.21,0.001,8,16,23,30,37,46,53,62,69,77,84,91,98,108,113,121,129,138,146,153,161,167,176,182,190
29,0.36092037103963376,0.3488624052004334,0.1797335643160597,0.1781857131428537,0.22,0.001,8,16,23,30,37,46,53,62,69,77,84,91,97,108,113,121,129,138,146,153,161,167,176,182,190
30,0.3612817732803277,0.3488624052004334,0.18045201266961597,0.17829527409759915,0.23,0.001,8,16,23,30,37,46,53,62,69,77,84,91,97,108,113,121,129,138,146,153,161,167,176,182,190
31,0.3618841103481508,0.3488624052004334,0.18173309412935923,0.17873322594781538,0.23,0.001,8,16,23,30,37,46,53,62,69,77,84,91,97,108,113,121,129,138,146,153,161,167,176,182,190
32,0.3618841103481508,0.3488624052004334,0.18231526986690494,0.17895202685501488,0.24,0.001,8,16,23,30,37,46,53,62,69,77,84,91,97,108,112,121,129,139,146,153,161,167,176,182,190
33,0.3621250451752801,0.34994582881906827,0.18360696916936414,0.18129969043726113,0.25,0.001,8,16,23,30,37,46,53,62,69,77,84,91,97,108,112,120,129,139,146,153,161,167,176,182,190
34,0.3621250451752801,0.34994582881906827,0.18506405714879448,0.18206147683836782,0.26,0.001,8,16,23,30,37,46,53,62,69,77,84,91,97,108,112,120,129,139,146,153,161,167,176,182,190
35,0.3623659800024093,0.34994582881906827,0.18714601869616987,0.18358080456652237,0.26,0.001,8,16,23,30,37,46,53,62,68,77,84,91,97,108,112,120,129,139,146,153,161,167,176,182,190
