epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5
0,0.07962896036622094,0.08342361863488625,0.0002452266404284753,6.403171875390967e-06,0.01,0.001,33,66,99,132,165
1,0.21395012649078424,0.24485373781148428,0.07135283053717734,0.0844322558058116,0.02,0.001,33,66,99,132,165
2,0.23479098903746537,0.26652221018418204,0.04846004248584301,0.055641027191062675,0.02,0.001,33,66,99,132,165
3,0.23744127213588725,0.2676056338028169,0.00023121351209320906,0.0,0.03,0.001,33,66,99,132,165
4,0.23744127213588725,0.2676056338028169,3.048703204977521e-05,0.0,0.04,0.001,33,66,99,132,165
5,0.23744127213588725,0.2676056338028169,1.5243748393012346e-05,0.0,0.04,0.001,33,66,99,132,165
6,0.23744127213588725,0.2676056338028169,0.0,0.0,0.05,0.001,33,66,99,132,165
7,0.23744127213588725,0.2676056338028169,0.0,0.0,0.05,0.001,33,66,99,132,165
8,0.23744127213588725,0.2676056338028169,0.0,0.0,0.06,0.001,33,66,99,132,165
9,0.23744127213588725,0.2676056338028169,0.0,0.0,0.07,0.001,33,66,99,132,165
10,0.23744127213588725,0.2676056338028169,0.0,0.0,0.07,0.001,33,66,99,133,165
11,0.23744127213588725,0.2676056338028169,0.0,0.0,0.08,0.001,33,66,99,133,165
12,0.23744127213588725,0.2676056338028169,0.0,0.0,0.09,0.001,33,66,99,133,165
13,0.23744127213588725,0.2676056338028169,0.0,0.0,0.09,0.001,33,66,99,133,165
14,0.23744127213588725,0.2676056338028169,0.0,0.0,0.1,0.001,33,65,99,133,165
15,0.23744127213588725,0.2676056338028169,0.0,0.0,0.11,0.001,33,65,99,133,165
16,0.23744127213588725,0.2676056338028169,0.0,0.0,0.11,0.001,33,65,99,133,165
17,0.23744127213588725,0.2676056338028169,0.0,0.0,0.12,0.001,33,65,99,133,164
18,0.23744127213588725,0.2676056338028169,0.0,0.0,0.12,0.001,33,65,99,133,164
19,0.23744127213588725,0.2676056338028169,0.0,0.0,0.13,0.001,33,65,99,133,164
20,0.23744127213588725,0.2676056338028169,0.0,0.0,0.14,0.001,33,65,99,133,164
21,0.23744127213588725,0.2676056338028169,0.0,0.0,0.14,0.001,33,65,99,133,164
22,0.23744127213588725,0.2676056338028169,0.0,0.0,0.15,0.001,33,65,99,133,164
23,0.23744127213588725,0.2676056338028169,0.0,0.0,0.16,0.001,32,65,99,133,164
24,0.23744127213588725,0.2676056338028169,0.0,0.0,0.16,0.001,32,65,99,133,164
25,0.23744127213588725,0.2676056338028169,0.0,0.0,0.17,0.001,32,65,99,133,164
26,0.23744127213588725,0.2676056338028169,0.0,0.0,0.18,0.001,32,65,99,133,164
27,0.23744127213588725,0.2676056338028169,0.0,0.0,0.18,0.001,32,65,99,133,164
28,0.23744127213588725,0.2676056338028169,0.0,0.0,0.19,0.001,32,65,99,133,164
29,0.23744127213588725,0.2676056338028169,0.0,0.0,0.2,0.001,32,65,99,133,164
30,0.23744127213588725,0.2676056338028169,0.0,0.0,0.2,0.001,32,65,99,134,164
31,0.23744127213588725,0.2676056338028169,0.0,0.0,0.21,0.001,32,65,99,134,164
32,0.23744127213588725,0.2676056338028169,0.0,0.0,0.22,0.001,32,65,99,134,164
33,0.23744127213588725,0.2676056338028169,0.0,0.0,0.22,0.001,32,65,99,134,164
34,0.23744127213588725,0.2676056338028169,0.0,0.0,0.23,0.001,32,65,99,134,164
35,0.23744127213588725,0.2676056338028169,0.0,0.0,0.24,0.001,32,65,99,134,164
36,0.23744127213588725,0.2676056338028169,0.0,0.0,0.24,0.001,32,65,99,134,164
37,0.23744127213588725,0.2676056338028169,0.0,0.0,0.25,0.001,32,65,99,134,164
38,0.23744127213588725,0.2676056338028169,0.0,0.0,0.26,0.001,32,65,99,134,164
39,0.23744127213588725,0.2676056338028169,0.0,0.0,0.26,0.001,32,65,99,134,164
40,0.24912661125165642,0.27627302275189597,0.01704895144431895,0.013567044880040457,0.27,0.001,32,65,99,134,164
41,0.3391157691844356,0.3705308775731311,0.14997163821158022,0.1620589489934795,0.28,0.001,32,65,99,134,164
42,0.3575472834598241,0.38353196099674974,0.1772189101007895,0.18321251774908198,0.28,0.001,32,65,99,134,164
43,0.35959522949042283,0.38461538461538464,0.18058689789227478,0.18551569423125924,0.29,0.001,32,65,99,134,164
44,0.3603180339718106,0.38461538461538464,0.18228331058987068,0.18586225638636533,0.3,0.001,32,65,99,134,164
45,0.3605589687989399,0.3856988082340195,0.18338960980472718,0.18833168934134858,0.3,0.001,32,65,99,134,164
46,0.3607999036260692,0.3856988082340195,0.18517518571097635,0.18988088327489716,0.31,0.001,32,65,99,134,164
47,0.3607999036260692,0.3856988082340195,0.18661946159268628,0.19142417472398088,0.32,0.001,32,65,99,134,164
48,0.3607999036260692,0.3856988082340195,0.18777683889960717,0.1929615973574763,0.32,0.001,32,65,99,134,164
49,0.36092037103963376,0.38678223185265437,0.18901352193390475,0.19574424193347262,0.33,0.001,32,65,99,134,164
50,0.36092037103963376,0.38678223185265437,0.1899540502863124,0.19692986905980703,0.34,0.001,32,65,99,134,164
51,0.36092037103963376,0.38678223185265437,0.1904725121304197,0.19777460761565757,0.34,0.001,32,65,99,135,164
52,0.36116130586676304,0.38678223185265437,0.19140713686265654,0.1987859510178166,0.35,0.001,32,65,99,135,164
53,0.36116130586676304,0.38678223185265437,0.19192393561113663,0.19929066709173515,0.35,0.001,31,65,99,135,164
54,0.36116130586676304,0.38678223185265437,0.19232853252348836,0.20063347308504453,0.36,0.001,31,65,99,135,164
55,0.3610408384531984,0.38678223185265437,0.19253869398755208,0.20147044212617993,0.37,0.001,31,65,99,135,164
56,0.3610408384531984,0.38678223185265437,0.19281729279871018,0.20147044212617993,0.37,0.001,31,65,99,135,164
57,0.3610408384531984,0.38678223185265437,0.19315135770686664,0.20197178279226924,0.38,0.001,31,66,99,135,164
58,0.3607999036260692,0.38678223185265437,0.19312539729937195,0.2028059531130545,0.39,0.001,31,66,99,135,164
59,0.3607999036260692,0.38678223185265437,0.19337568633409008,0.20297257795312584,0.39,0.001,31,66,99,135,164
60,0.3607999036260692,0.38678223185265437,0.19369527422358634,0.20347203481182985,0.4,0.001,31,66,99,135,164
61,0.36067943621250453,0.38678223185265437,0.1938904697335594,0.2036383813562681,0.41,0.001,31,66,99,135,164
62,0.36067943621250453,0.38678223185265437,0.19425119552535064,0.2036383813562681,0.41,0.001,31,66,99,135,164
63,0.3605589687989399,0.38678223185265437,0.1944459806743637,0.2039708660937405,0.42,0.001,31,66,99,135,164
64,0.3605589687989399,0.38678223185265437,0.1946538052174468,0.20430307331917852,0.43,0.001,31,66,99,135,164
65,0.3605589687989399,0.38678223185265437,0.1948892101045564,0.20446907297343797,0.43,0.001,31,66,98,135,164
66,0.3605589687989399,0.38678223185265437,0.1950414575944328,0.20463500337988028,0.44,0.001,31,66,98,135,164
67,0.3605589687989399,0.38678223185265437,0.19531812374307567,0.20529803339337005,0.45,0.001,31,66,98,135,164
68,0.36043850138537525,0.38678223185265437,0.19547069628117675,0.20595995890102803,0.45,0.001,31,66,98,135,164
69,0.3603180339718106,0.38678223185265437,0.19556789827850762,0.20595995890102803,0.46,0.001,31,66,98,135,164
70,0.3600770991446814,0.38678223185265437,0.19547215679484364,0.20645567985903823,0.46,0.001,31,66,98,135,164
71,0.3600770991446814,0.38678223185265437,0.19574831897019096,0.2071156791114659,0.47,0.001,31,66,98,135,164
72,0.3600770991446814,0.38678223185265437,0.19603808528070155,0.20760995853139874,0.48,0.001,31,66,98,136,164
73,0.3600770991446814,0.38678223185265437,0.19621735981110489,0.20760995853139874,0.48,0.001,31,66,98,136,164
74,0.3600770991446814,0.38678223185265437,0.19636899120824647,0.2079391359192685,0.49,0.001,31,67,98,136,164
