epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0,0,81.97612731288756,81.91912277228833,0.14,0.001,264,523,784,1043,1301,1561,1820,2082,2342,2599,2859,3119,3379,3638,3899
1,0.04288626160193476,0.04333848311525412,75.02480384117142,74.96090452383329,0.16,0.001,264,523,784,1044,1301,1560,1821,2083,2341,2599,2858,3118,3378,3638,3899
2,0.050770557733020194,0.05093395888595853,74.71515570610491,74.6627312485955,0.17,0.001,265,523,785,1044,1300,1559,1822,2084,2341,2598,2857,3117,3377,3637,3899
3,0,0,76.90612936804843,76.87973816699039,0.19,0.001,265,523,785,1045,1300,1559,1822,2085,2341,2597,2857,3117,3377,3637,3899
4,0,0,78.08489908326546,78.06844515491679,0.2,0.001,265,523,785,1044,1300,1559,1822,2086,2340,2597,2856,3117,3376,3637,3899
5,0,0,77.65746352170537,77.64338739048387,0.22,0.001,265,523,785,1044,1300,1558,1822,2086,2340,2597,2855,3116,3375,3636,3899
6,0.010789865774946117,0.010237536903287325,76.27239361226151,76.24671803899989,0.24,0.001,265,524,785,1044,1301,1558,1821,2087,2340,2597,2854,3116,3375,3636,3898
7,0.04988782404520309,0.04972233303739204,74.74988568657648,74.71037829512042,0.25,0.001,266,524,785,1043,1301,1559,1821,2087,2341,2597,2853,3115,3374,3636,3898
8,0.07637853075622547,0.07662284146417331,73.70044349319582,73.6453309153065,0.27,0.001,266,524,784,1043,1301,1559,1820,2087,2341,2597,2853,3115,3373,3636,3898
9,0.08431598348342229,0.08503140673541698,73.38308156623194,73.30924638453699,0.28,0.001,266,525,784,1043,1302,1559,1819,2087,2341,2597,2852,3115,3373,3635,3898
10,0.07732127473925554,0.07840707290281845,73.66281923399349,73.57414149601068,0.3,0.001,266,525,783,1042,1302,1559,1818,2088,2341,2598,2851,3114,3372,3635,3898
11,0.06642178411939181,0.06781447094362336,74.0966297943098,73.99576040959205,0.31,0.001,266,525,783,1042,1303,1559,1818,2088,2341,2598,2850,3114,3371,3635,3897
12,0.060014424556634305,0.06163551159889502,74.35046535979953,74.24059546922425,0.32,0.001,267,526,783,1041,1303,1559,1817,2088,2341,2599,2850,3114,3371,3635,3897
13,0.06247170362986276,0.06426174504242532,74.25321896957566,74.13663220281185,0.34,0.001,267,526,783,1041,1304,1559,1817,2089,2341,2600,2849,3113,3370,3634,3897
14,0.07369994407939284,0.07559106866326226,73.80723414747365,73.68646296450082,0.35,0.001,267,527,782,1040,1304,1559,1817,2089,2341,2600,2849,3113,3369,3634,3897
15,0.09016843471022651,0.09211947570337031,73.14819343719296,73.02473762149029,0.37,0.001,267,527,782,1040,1305,1560,1817,2089,2341,2601,2848,3112,3368,3634,3896
16,0.1069228483441288,0.10890238267580521,72.4715562468735,72.34662858743833,0.38,0.001,268,528,782,1040,1305,1560,1817,2090,2341,2602,2848,3112,3368,3634,3896
17,0.11969508660272954,0.12151748333913903,71.9514674754796,71.83270834571985,0.4,0.001,268,528,781,1039,1306,1560,1817,2090,2341,2603,2847,3112,3367,3633,3896
18,0.12647216122236926,0.12805627634968197,71.67397158749472,71.56486759183936,0.41,0.001,268,528,781,1039,1306,1560,1818,2091,2341,2604,2847,3111,3366,3633,3896
19,0.12814814029295496,0.12943148712569796,71.60517968563796,71.50840955243481,0.43,0.001,268,529,781,1038,1306,1560,1818,2091,2341,2605,2847,3111,3366,3633,3895
20,0.12781684395690907,0.1288414209107016,71.61878245264995,71.53264251593464,0.44,0.001,269,529,780,1038,1307,1560,1818,2092,2340,2606,2846,3111,3365,3633,3895
21,0.12899967863170814,0.1298013642992062,71.57020632633211,71.49321837375557,0.46,0.001,269,530,780,1037,1308,1560,1818,2092,2340,2607,2846,3110,3364,3632,3895
22,0.13372946729556656,0.13448151127251584,71.37561227298684,71.30070838094808,0.47,0.001,269,530,779,1037,1308,1560,1818,2093,2340,2608,2845,3110,3364,3632,3895
23,0.1414894645837389,0.14238309838121366,71.05520589764166,70.9744981985167,0.49,0.001,269,530,779,1036,1309,1560,1818,2093,2340,2608,2845,3110,3363,3632,3894
24,0.14975983872096787,0.15095484669470527,70.7121316777132,70.61891912427753,0.5,0.001,270,530,778,1035,1309,1561,1818,2094,2339,2609,2844,3109,3363,3632,3894
25,0.1558702843911398,0.15750659662463684,70.45757602650868,70.34591914136705,0.52,0.001,270,531,777,1035,1310,1561,1819,2095,2339,2610,2844,3109,3362,3631,3894
26,0.15874129751690857,0.16080942680086752,70.33765522241625,70.20789441010177,0.54,0.001,270,531,777,1034,1311,1561,1819,2095,2338,2611,2843,3108,3362,3631,3894
27,0.1595482732889303,0.16198137731145312,70.30390919740879,70.1588564382199,0.55,0.001,270,531,776,1034,1311,1561,1819,2096,2338,2612,2843,3108,3361,3631,3893
28,0.16073219955647877,0.16342075251980703,70.25437528078767,70.09857386989945,0.57,0.001,271,531,775,1033,1312,1562,1819,2097,2338,2613,2842,3107,3360,3631,3893
29,0.16408570795077804,0.1668995787587635,70.11387570521437,69.95267652581279,0.58,0.001,271,532,775,1032,1312,1562,1819,2097,2337,2614,2842,3107,3360,3630,3893
30,0.16956398786628324,0.17227548211273946,69.88374484076215,69.72661458331388,0.6,0.001,271,532,774,1032,1313,1562,1819,2098,2337,2615,2841,3106,3359,3630,3893
31,0.17553935591069614,0.17799831623144424,69.63187241665989,69.48514974551217,0.62,0.001,271,532,773,1031,1314,1562,1819,2099,2336,2616,2841,3106,3359,3630,3892
32,0.18019073398209107,0.1823652605249685,69.4351759005747,69.30033637071143,0.63,0.001,272,533,772,1031,1314,1562,1820,2100,2336,2618,2841,3106,3358,3630,3892
33,0.18289489795752956,0.1848196104053379,69.32056211566125,69.19624351933781,0.65,0.001,272,533,772,1030,1315,1562,1820,2101,2335,2619,2840,3105,3358,3629,3892
34,0.18449193111688,0.1862851292710752,69.25278508614292,69.1340162802021,0.67,0.001,272,533,771,1029,1315,1562,1820,2102,2335,2620,2840,3105,3357,3629,3892
35,0.18654584559325127,0.18835254809903257,69.16552341236384,69.04613423171314,0.68,0.001,273,534,770,1029,1316,1562,1820,2103,2334,2621,2839,3104,3357,3629,3891
36,0.18997573049865124,0.19194416016468152,69.01954617285055,68.89320312991696,0.7,0.001,273,534,769,1028,1317,1562,1821,2103,2334,2622,2839,3103,3357,3628,3891
37,0.19429126340168734,0.19656795694598594,68.83544406317867,68.69580605489138,0.72,0.001,273,534,769,1028,1317,1562,1821,2104,2333,2623,2838,3103,3356,3628,3891
