epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
0,0,0,93.00174309522376,91.97668692391566,0.14,0.001,202,399,597,796,992,1190,1388,1588,1785,1983,2179,2377,2577,2772,2970,3168,3366,3564,3763,3960
1,0,0,84.82969496843367,83.74735303652886,0.16,0.001,202,399,597,797,992,1189,1387,1588,1786,1984,2178,2376,2578,2772,2970,3167,3365,3564,3763,3961
2,0,0,81.10027671230536,79.98262750825957,0.18,0.001,203,400,596,797,991,1189,1387,1589,1787,1985,2178,2375,2577,2771,2969,3167,3365,3563,3763,3961
3,0,0,80.54884666597499,79.44029056860883,0.19,0.001,203,400,596,798,991,1190,1387,1590,1788,1985,2177,2374,2577,2770,2968,3166,3364,3563,3764,3960
4,0,0,81.47720636012258,80.36612995379335,0.21,0.001,203,400,596,799,991,1190,1387,1591,1789,1986,2177,2373,2576,2769,2968,3166,3363,3562,3764,3960
5,0,0,82.15342390061262,81.01271842664582,0.23,0.001,203,400,596,799,990,1190,1388,1591,1790,1986,2177,2373,2576,2768,2967,3165,3363,3562,3764,3960
6,0,0,82.06057511546729,80.9046476521513,0.24,0.001,203,401,596,800,990,1191,1388,1591,1790,1987,2176,2373,2575,2767,2967,3164,3362,3562,3764,3960
7,0,0,81.02722162663144,79.83598604619817,0.26,0.001,204,401,596,800,991,1192,1389,1591,1790,1987,2176,2372,2574,2766,2967,3164,3361,3562,3764,3960
8,0,0,79.64757884836331,78.4142925080068,0.28,0.001,204,401,596,801,991,1192,1390,1591,1790,1988,2176,2372,2573,2765,2967,3163,3361,3562,3764,3960
9,0,0,78.34169011552055,77.06216735025528,0.29,0.001,204,401,596,802,991,1193,1390,1590,1790,1989,2176,2373,2572,2764,2967,3162,3360,3562,3764,3959
10,0,0,77.35839507812,76.04395187776277,0.31,0.001,204,402,596,802,992,1194,1391,1590,1789,1989,2176,2373,2571,2763,2967,3162,3359,3562,3763,3959
11,0,0,76.61856684352854,75.27342736442588,0.32,0.001,204,402,596,803,992,1195,1392,1589,1789,1990,2176,2373,2570,2762,2967,3161,3359,3562,3763,3959
12,0,0,76.07590589030964,74.70265601975775,0.34,0.001,205,402,596,803,992,1195,1392,1589,1789,1990,2175,2372,2569,2762,2968,3160,3358,3562,3763,3959
13,0.005263064577355481,0.005467494170854015,75.67682237853609,74.27907088200384,0.36,0.001,205,402,596,804,993,1196,1393,1588,1788,1991,2175,2372,2568,2761,2968,3160,3357,3562,3763,3959
14,0.014207961922607315,0.015171244040333876,75.33580098569504,73.91581267415823,0.37,0.001,205,403,596,804,993,1197,1394,1588,1788,1991,2175,2372,2568,2760,2968,3159,3357,3562,3763,3958
15,0.023375701345606625,0.02500234225137077,74.98467616890967,73.54595050672403,0.39,0.001,205,403,596,805,994,1198,1395,1588,1788,1992,2175,2372,2567,2759,2968,3158,3356,3562,3763,3958
16,0.03385007597752998,0.03621216009116057,74.58148857122657,73.12193837073625,0.4,0.001,205,404,596,806,995,1199,1395,1587,1788,1992,2175,2371,2566,2758,2968,3158,3355,3562,3762,3958
17,0.04556262047258852,0.04869835242507803,74.1280333749065,72.6467366083553,0.42,0.001,206,404,596,806,995,1200,1396,1587,1788,1992,2174,2371,2565,2757,2968,3157,3355,3562,3762,3958
18,0.05748050009235928,0.061352414456986915,73.6637704317309,72.16195097119223,0.44,0.001,206,404,596,807,996,1201,1397,1587,1788,1992,2174,2370,2565,2756,2968,3157,3354,3561,3762,3958
19,0.06833786815926923,0.07290928282077402,73.23825364435584,71.71633642452917,0.45,0.001,206,405,595,807,996,1201,1398,1587,1788,1992,2174,2370,2564,2755,2968,3156,3353,3561,3762,3957
20,0.07749607135558845,0.08273876933026103,72.87739865263441,71.33513622441784,0.47,0.001,206,405,595,808,997,1202,1398,1587,1788,1992,2174,2369,2563,2754,2969,3156,3353,3561,3762,3957
