epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5
0,0,0,78.9687283587228,77.92661060655082,0.14,0.001,696,1390,2080,2772,3465
1,0.025764948315272873,0.02714800893235647,76.61195469091295,75.48797632942944,0.15,0.001,695,1391,2080,2772,3464
2,0.06144616658226498,0.06560870352640769,75.19592248129216,73.98075657730192,0.16,0.001,695,1391,2080,2771,3464
3,0.07065056079632548,0.07680847829139636,74.82628971700053,73.53604757510938,0.17,0.001,694,1392,2080,2770,3463
4,0.09990935486387409,0.10796513184326051,73.63898888220662,72.28451611189806,0.19,0.001,694,1392,2081,2769,3463
5,0.1288143826638919,0.1381871332420268,72.44693640003005,71.04947453733384,0.2,0.001,693,1393,2082,2768,3462
6,0.13711188855155565,0.14683519747082285,72.10110834251267,70.69208995376533,0.21,0.001,693,1393,2083,2767,3462
7,0.14374629237391134,0.15398486119264687,71.82338839886177,70.39526378999159,0.22,0.001,692,1394,2084,2766,3461
8,0.16021810964569405,0.17198275388531814,71.1292013258268,69.64245320968023,0.23,0.001,692,1395,2085,2765,3461
9,0.17180395259085335,0.18540205613719551,70.63683874778974,69.07581885146205,0.25,0.001,691,1395,2086,2764,3460
10,0.17336673399759894,0.18839086567674457,70.57015984775364,68.94898051503372,0.26,0.001,690,1396,2087,2763,3460
11,0.17849933248618555,0.19443162807662684,70.35073960165593,68.69190727443808,0.27,0.001,690,1396,2088,2762,3459
12,0.18861835667314686,0.20492669245653117,69.91611184349784,68.24297411180875,0.28,0.001,689,1397,2089,2761,3459
13,0.19272272063635643,0.20887654468068795,69.73905394060957,68.07325658229338,0.29,0.001,689,1397,2090,2760,3459
14,0.19262197337108178,0.20869758506443015,69.74340526619703,68.08095264669296,0.3,0.001,688,1398,2091,2759,3458
15,0.1973261325248058,0.21401531441274757,69.53993274438616,67.85181032266199,0.31,0.001,688,1399,2092,2758,3458
16,0.20350762989324278,0.2212472232076257,69.27164316569227,67.5389319149981,0.33,0.001,687,1399,2093,2757,3458
17,0.20507015704058407,0.22369169863210758,69.20365947242242,67.43284781798667,0.34,0.001,686,1400,2094,2756,3457
18,0.20645985439512338,0.22542987547437288,69.14314437500293,67.35731446917995,0.35,0.001,686,1400,2095,2755,3457
19,0.21191712564248788,0.2307345699566773,68.90498156428895,67.12626570035756,0.36,0.001,685,1401,2096,2754,3457
20,0.21667524217315837,0.23499582456014145,68.69665544078548,66.94009317455982,0.37,0.001,684,1402,2097,2753,3456
21,0.2185971522433211,0.23642426924065407,68.61233019996297,66.87756274295214,0.38,0.001,684,1402,2098,2752,3456
22,0.22204043013250252,0.23979846430960472,68.46099054616796,66.72963538249891,0.39,0.001,683,1403,2099,2751,3456
23,0.2273505435438573,0.24547763584426863,68.22694851674264,66.47991135133417,0.41,0.001,683,1403,2100,2750,3456
24,0.23081419566941785,0.24934382190229687,68.07385192866825,66.30937050815292,0.42,0.001,682,1404,2101,2749,3456
25,0.2334616055852855,0.25212511843603136,67.9566009257011,66.18641553644146,0.43,0.001,681,1404,2102,2748,3455
26,0.2382642896297339,0.2567283310284484,67.74337995216766,65.98240843328054,0.44,0.001,681,1405,2103,2747,3455
27,0.24327835788417673,0.2613497895472541,67.52004910580264,65.77695948002993,0.45,0.001,680,1405,2104,2746,3455
28,0.2466514395471553,0.26438318298493013,67.36939404437486,65.64175753307684,0.46,0.001,679,1405,2104,2745,3455
29,0.2505342225631615,0.26819274867239384,67.19556274296502,65.47156915171271,0.47,0.001,679,1406,2105,2744,3455
30,0.2553621782514006,0.27316752232395924,66.9787782680548,65.24865300333794,0.48,0.001,678,1406,2106,2743,3455
31,0.2590119672610991,0.27695063141793863,66.81443299939954,65.07862582340303,0.5,0.001,677,1407,2107,2741,3455
32,0.2620502318925476,0.27998770047014243,66.6773070935682,64.94180086816195,0.52,0.001,677,1407,2108,2740,3456
33,0.2660675830450886,0.2838179848046317,66.4955686082257,64.76883473650734,0.54,0.001,676,1408,2108,2739,3456
34,0.26984153920399145,0.28728260548602547,66.32438336030724,64.61198037370856,0.55,0.001,675,1408,2109,2738,3456
35,0.27273372272081153,0.28989297908087097,66.19289623304566,64.49354982283111,0.57,0.001,675,1409,2110,2737,3456
36,0.27617581953989956,0.2932495338838421,66.03607116805557,64.34094214368872,0.58,0.001,674,1409,2111,2736,3456
37,0.279889121141384,0.2970614762358782,65.86646796027931,64.16719722115616,0.6,0.001,673,1410,2111,2735,3456
38,0.28287646258163623,0.3001295435062462,65.72970070438097,64.02700617342069,0.61,0.001,673,1410,2112,2734,3457
39,0.2861870046062297,0.30334275184587256,65.57781041442296,63.87985969465944,0.63,0.001,672,1411,2113,2733,3457
