epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0.2459727385377943,0.22423398328690808,0.0012484470681800586,0.0008993569597737228,0.01,0.01,13,25,37,50,62,75,86,100,112,124,136,148,161,173,186
1,0.2459727385377943,0.22423398328690808,3.086343350666709e-05,0.0,0.02,0.01,13,25,37,50,63,75,86,100,112,125,136,148,161,173,185
2,0.2459727385377943,0.22423398328690808,0.0,0.0,0.03,0.01,13,26,36,51,63,76,85,101,113,125,136,148,161,173,185
3,0.2459727385377943,0.22423398328690808,0.0,0.0,0.04,0.01,13,26,36,51,63,76,85,101,113,125,137,148,161,173,185
4,0.2459727385377943,0.22423398328690808,0.0,0.0,0.05,0.01,13,26,36,52,63,76,84,101,112,125,137,148,160,173,185
5,0.3646220570012392,0.34540389972144847,0.17939683207812784,0.1745753757044457,0.06,0.01,13,26,36,52,63,76,84,102,112,124,137,148,160,173,185
6,0.2740086741016109,0.2924791086350975,0.14265790377364274,0.15952568587058225,0.06,0.01,13,26,36,52,64,76,84,102,112,124,138,148,160,173,185
7,0.26688351920693926,0.2883008356545961,0.14230437612370583,0.15915617229485846,0.07,0.01,13,27,36,52,64,76,84,103,111,124,138,149,159,173,185
8,0.3513011152416357,0.33565459610027853,0.18323990703739934,0.17847984974561815,0.08,0.01,12,27,37,52,64,76,84,103,111,123,138,149,159,173,185
9,0.3660161090458488,0.34540389972144847,0.19707992468273838,0.18763029547281895,0.09,0.01,12,27,37,52,65,76,84,103,111,123,139,149,159,173,185
10,0.3663258983890954,0.34540389972144847,0.1963728375408028,0.18734467412873024,0.1,0.01,12,27,37,52,65,77,84,103,110,123,139,149,159,173,185
11,0.36648079306071873,0.34540389972144847,0.19582170238364127,0.18705885187058857,0.11,0.01,12,28,37,51,65,77,84,103,110,123,139,149,158,173,185
12,0.36648079306071873,0.34540389972144847,0.196372680425549,0.18720178812716326,0.12,0.01,12,28,37,51,66,77,84,103,110,122,140,149,158,173,185
13,0.3663258983890954,0.34540389972144847,0.1970014491463462,0.18734467412873024,0.13,0.01,12,28,37,51,66,77,85,103,109,122,140,149,158,173,185
14,0.36570631970260226,0.34540389972144847,0.19733468670837295,0.18791571611462454,0.13,0.01,12,28,38,51,66,77,85,103,109,122,140,149,157,173,185
15,0.36570631970260226,0.34540389972144847,0.19792205560529108,0.18848595613697572,0.14,0.01,12,28,38,51,66,77,85,103,109,121,140,149,157,173,185
16,0.3677199504337051,0.34818941504178275,0.2013900993603458,0.1925935359234171,0.15,0.01,12,28,38,51,66,77,85,103,109,121,140,149,157,173,185
17,0.37623915737298635,0.35236768802228413,0.21426404038123004,0.19874917803813885,0.16,0.01,12,29,38,51,66,77,85,103,108,121,140,149,156,173,185
18,0.4007125154894672,0.3774373259052925,0.24946633437769328,0.23344280306196774,0.17,0.01,12,29,38,51,66,77,85,103,108,121,141,149,156,173,185
19,0.4242565055762082,0.3997214484679666,0.2833984558022564,0.26472705672705665,0.17,0.01,12,29,38,51,66,77,85,103,108,121,141,149,156,173,185
20,0.4309169764560099,0.41086350974930363,0.2937502973804379,0.28062758027726653,0.18,0.01,12,29,38,51,66,76,85,103,108,121,141,149,155,173,185
21,0.4264250309789343,0.4052924791086351,0.2886143476464975,0.2743801418171147,0.19,0.01,12,30,38,51,66,76,85,102,107,121,141,149,155,173,185
22,0.42410161090458487,0.403899721448468,0.28631186793863117,0.2728511766028182,0.2,0.01,12,30,38,50,66,76,85,102,107,121,141,149,155,173,185
23,0.42379182156133827,0.4052924791086351,0.2864163908113667,0.2749670102020063,0.21,0.01,12,30,38,50,66,76,85,102,107,121,140,149,154,173,185
24,0.43385997521685254,0.4136490250696379,0.29914611809095115,0.2853339764140683,0.22,0.01,12,30,38,50,66,77,85,102,107,121,140,149,154,173,185
25,0.4457868649318463,0.42479108635097496,0.31449476295364265,0.2992109050604642,0.23,0.01,12,30,38,50,65,77,85,102,107,121,140,149,154,173,184
26,0.45322180916976457,0.43175487465181056,0.3244727656734152,0.30856924362369553,0.24,0.01,12,30,37,50,65,77,85,101,107,121,140,149,154,173,184
27,0.45461586121437425,0.435933147632312,0.32647080444477117,0.31400788399068646,0.25,0.01,12,30,37,50,65,77,85,101,107,121,140,149,154,173,184
28,0.45678438661710036,0.4387186629526462,0.32919403054412233,0.317596728471636,0.26,0.01,12,30,37,50,64,77,85,101,107,121,140,149,153,173,184
29,0.4591078066914498,0.4415041782729805,0.3324189178817022,0.32108901926015354,0.27,0.01,12,30,37,50,64,77,85,101,107,121,139,149,153,173,184
30,0.45771375464684017,0.44428969359331477,0.33142856534362675,0.3256073446327684,0.28,0.01,12,30,37,50,64,77,85,101,107,122,139,149,153,173,184
31,0.45786864931846344,0.44428969359331477,0.3317842375188246,0.3256073446327684,0.29,0.01,12,30,37,50,63,77,85,100,108,122,139,149,152,173,184
32,0.45724907063197023,0.44428969359331477,0.33098518801748533,0.3254390219781773,0.29,0.01,12,30,37,50,63,77,85,100,108,122,139,149,152,173,184
33,0.4632899628252788,0.44707520891364905,0.3388892739040086,0.32924355589440935,0.3,0.01,12,30,37,50,63,77,85,100,108,122,139,149,152,173,184
34,0.46205080545229243,0.4456824512534819,0.3366214549938348,0.3270472539221274,0.31,0.01,12,30,37,50,62,77,85,100,108,122,139,149,152,173,184
35,0.4642193308550186,0.44707520891364905,0.34178497314754464,0.33106322661797893,0.32,0.01,12,30,37,50,62,77,85,100,108,123,139,149,152,173,183
36,0.4666976456009913,0.44846796657381616,0.3427209162020034,0.33083234093829583,0.33,0.01,12,30,37,50,62,77,84,100,108,123,139,149,153,173,183
37,0.4645291201982652,0.44428969359331477,0.3507196301953881,0.3324680892708183,0.34,0.01,12,30,37,50,62,77,84,100,108,123,139,149,153,173,183
38,0.4679368029739777,0.44846796657381616,0.3442898466220211,0.33100081175515583,0.34,0.01,12,30,37,50,62,77,84,100,108,124,139,149,153,173,183
39,0.47134448574969023,0.4554317548746518,0.351007038938733,0.34151924980414794,0.35,0.01,12,30,37,50,62,77,84,100,108,124,139,149,153,173,183
40,0.4756815365551425,0.4596100278551532,0.3571607335257282,0.34709374406760996,0.36,0.01,12,30,37,50,62,77,84,100,108,125,139,149,153,173,183
41,0.4756815365551425,0.4582172701949861,0.355419237380184,0.34419986146820236,0.37,0.01,12,30,37,50,62,77,84,100,108,125,139,149,153,173,183
42,0.47242874845105326,0.4568245125348189,0.3622361996949113,0.34866951991068107,0.38,0.01,12,30,37,50,62,77,84,100,108,125,139,149,153,173,183
43,0.46964064436183395,0.45125348189415043,0.3461414649806006,0.3333993119374147,0.38,0.01,12,30,37,50,62,78,84,100,107,126,139,149,153,173,183
44,0.4763011152416357,0.46657381615598886,0.37068329519032517,0.3634236056936635,0.39,0.01,12,30,37,50,62,78,84,100,108,126,140,149,154,172,183
45,0.47862453531598514,0.4623955431754875,0.35970752244872173,0.3493445270828638,0.4,0.01,12,30,37,50,62,78,84,100,108,126,140,149,154,172,183
46,0.4812577447335812,0.4623955431754875,0.3631625899201748,0.34892265478908835,0.41,0.01,12,30,37,50,62,78,84,100,108,127,140,149,154,172,183
47,0.4840458488228005,0.4832869080779944,0.3827135630849384,0.38506678486179013,0.42,0.01,12,30,37,50,62,78,84,100,108,127,140,149,154,172,183
48,0.47754027261462206,0.4610027855153203,0.35743937083134736,0.34666804606565627,0.43,0.01,12,30,37,50,62,78,85,100,108,127,140,149,154,172,183
49,0.4846654275092937,0.46935933147632314,0.36850663549680995,0.35837975396090116,0.44,0.01,12,30,37,50,62,79,85,100,108,128,140,149,154,172,183
50,0.4924101610904585,0.4832869080779944,0.3878640720657035,0.38254669528573493,0.44,0.01,12,30,37,50,62,79,85,100,108,128,140,149,154,172,183
