epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
0,0,0,110.83811128877332,107.73760532684258,0.1,0.01,166,327,479,649,810,970,1131,1291,1433,1612,1772,1911,2071,2251,2390,2550,2730,2871,3031,3192,3352,3513,3674,3835,3996
1,0,0,87.00228142213427,83.40868240645725,0.12,0.01,167,329,482,654,816,978,1139,1293,1431,1617,1781,1916,2076,2250,2380,2541,2731,2862,3024,3190,3346,3508,3670,3832,3994
2,0,0,83.68219620049118,80.12597808002876,0.14,0.01,169,332,485,660,822,985,1147,1297,1432,1623,1790,1924,2080,2249,2371,2532,2730,2853,3016,3187,3339,3502,3665,3829,3992
3,0,0,84.30962166139462,80.87689876538448,0.15,0.01,170,335,489,665,829,993,1156,1303,1434,1630,1799,1932,2084,2249,2362,2523,2727,2845,3009,3182,3332,3496,3660,3825,3990
4,0,0,83.07462935799803,79.58101340968523,0.17,0.01,172,338,493,671,836,1000,1164,1310,1437,1636,1809,1940,2087,2248,2353,2513,2722,2838,3001,3176,3325,3491,3656,3822,3988
5,0,0,81.24755705462012,77.6274342915409,0.19,0.01,174,341,497,677,842,1008,1173,1317,1441,1643,1818,1949,2090,2247,2345,2504,2716,2831,2993,3169,3319,3485,3651,3818,3986
6,0,0,81.40845126582374,77.74828550159482,0.21,0.01,175,344,501,682,849,1015,1181,1325,1446,1650,1828,1957,2092,2246,2337,2495,2710,2824,2985,3162,3312,3479,3646,3815,3984
7,0,0,80.75285102842345,77.08656735896015,0.22,0.01,177,347,506,688,856,1023,1190,1333,1451,1658,1837,1963,2095,2245,2328,2486,2703,2817,2978,3155,3304,3473,3642,3811,3982
8,0,0,79.0565956293338,75.36983683601484,0.24,0.01,179,350,510,694,863,1031,1199,1342,1457,1665,1846,1966,2097,2244,2319,2476,2695,2810,2972,3148,3297,3467,3637,3808,3980
9,0,0,78.62140418049337,74.97198695596242,0.25,0.01,180,353,515,700,869,1038,1207,1350,1463,1673,1855,1967,2099,2243,2311,2467,2687,2802,2965,3140,3290,3460,3632,3804,3978
10,0,0,78.22061648791832,74.58391744999388,0.26,0.01,182,356,519,706,876,1046,1216,1359,1469,1681,1864,1966,2101,2242,2302,2458,2679,2795,2959,3133,3283,3454,3627,3801,3976
11,0,0,76.8723830855399,73.19138613188201,0.28,0.01,184,359,524,712,883,1054,1225,1367,1476,1688,1873,1965,2103,2240,2294,2448,2671,2789,2953,3125,3276,3448,3623,3797,3974
12,0.019173993397249234,0.02153472901541642,75.74875914309587,72.02712501746304,0.29,0.01,186,363,528,717,890,1061,1233,1376,1483,1696,1881,1963,2105,2239,2286,2439,2663,2782,2947,3117,3269,3442,3618,3793,3972
13,0.039863681759180314,0.04320633640067573,74.94556944147033,71.22501275118348,0.31,0.01,187,366,533,723,897,1069,1242,1385,1490,1704,1890,1959,2107,2238,2277,2430,2654,2775,2941,3109,3261,3435,3613,3790,3970
14,0.08803920224751494,0.09444754337190397,73.04115452199704,69.29153904202518,0.32,0.01,189,369,537,729,904,1077,1251,1394,1497,1712,1898,1954,2108,2236,2269,2420,2646,2768,2934,3101,3254,3429,3608,3786,3967
15,0.10288438375916331,0.10976148973659106,72.44422019086478,68.70313743745623,0.34,0.01,191,372,542,735,911,1085,1259,1402,1504,1720,1906,1948,2110,2235,2261,2411,2637,2761,2928,3093,3247,3423,3603,3782,3965
16,0.14671487076809886,0.15598965512950358,70.6523488252956,66.89555758792956,0.35,0.01,193,376,547,741,917,1092,1268,1411,1512,1728,1915,1943,2111,2233,2253,2402,2628,2754,2921,3085,3240,3416,3598,3778,3963
17,0.14532118976983022,0.15194463775762979,70.7100255610458,67.05566644470659,0.37,0.01,195,379,551,747,924,1100,1277,1420,1520,1737,1923,1938,2112,2232,2245,2392,2619,2747,2915,3077,3232,3410,3594,3774,3961
18,0.18267982749739697,0.1926098456901083,69.14736725600983,65.42821686780101,0.38,0.01,197,383,556,753,931,1108,1285,1429,1527,1745,1931,1934,2113,2230,2237,2383,2610,2741,2908,3069,3225,3403,3589,3771,3959
19,0.1836054753697619,0.19264040344114586,69.10820037719836,65.42698175375546,0.39,0.01,199,386,561,759,938,1116,1294,1438,1535,1753,1940,1930,2114,2228,2230,2374,2600,2734,2901,3061,3218,3397,3584,3767,3956
20,0.1935940558153133,0.19938884470213525,68.68412682231427,65.15296754321709,0.41,0.01,200,390,566,764,945,1123,1303,1447,1543,1761,1949,1928,2115,2227,2222,2365,2590,2727,2895,3053,3210,3391,3579,3763,3954
21,0.21888546870628478,0.22659421010386693,67.59847417610474,64.03642762131567,0.42,0.01,202,393,571,770,952,1131,1312,1456,1550,1768,1957,1927,2116,2225,2215,2356,2581,2721,2888,3044,3203,3384,3574,3759,3952
22,0.2134744365179574,0.2206588699945483,67.83220839758758,64.28167537535484,0.44,0.01,204,397,575,776,959,1139,1320,1465,1558,1776,1964,1927,2116,2224,2208,2348,2571,2714,2881,3036,3196,3378,3569,3755,3949
23,0.2242131920296584,0.22839282889239254,67.36754582489071,63.96192180826222,0.45,0.01,206,400,580,782,965,1147,1329,1474,1566,1784,1970,1928,2117,2223,2201,2339,2561,2708,2874,3028,3189,3371,3564,3751,3947
24,0.23549839144658524,0.24050185219890052,66.87575934148337,63.458051627876586,0.47,0.01,208,404,585,787,972,1155,1338,1483,1574,1792,1974,1930,2117,2221,2194,2331,2551,2701,2867,3019,3181,3365,3559,3747,3945
25,0.23496859398294367,0.2417135407860832,66.89892971397225,63.40741281585301,0.48,0.01,210,407,589,793,979,1163,1346,1491,1582,1800,1976,1934,2117,2220,2188,2323,2541,2694,2860,3011,3174,3358,3554,3744,3942
26,0.25273242013582276,0.2582548021677241,66.11767814496551,62.71201344925368,0.49,0.01,212,411,594,798,986,1170,1355,1500,1590,1808,1978,1937,2118,2218,2181,2314,2531,2688,2853,3003,3167,3352,3549,3740,3940
27,0.25398511118640177,0.2580842572362476,66.06223761182518,62.71922295225264,0.51,0.01,214,415,599,804,993,1178,1364,1509,1598,1815,1979,1941,2118,2217,2175,2307,2522,2681,2846,2995,3160,3345,3544,3736,3938
28,0.2639652303456057,0.2713087991718174,65.6188613200313,62.157728819134995,0.52,0.01,216,418,604,809,999,1187,1372,1518,1606,1823,1979,1944,2118,2215,2170,2299,2512,2674,2839,2986,3152,3339,3538,3732,3935
29,0.2740521296886943,0.2808849645591879,65.16767735522726,61.74795392928518,0.54,0.01,218,422,608,815,1006,1195,1381,1526,1614,1830,1979,1947,2118,2214,2164,2291,2502,2668,2832,2978,3145,3333,3533,3728,3933
30,0.2717731140691678,0.27563484499954094,65.26989115515859,61.972949618160015,0.55,0.01,220,425,613,820,1013,1203,1390,1535,1622,1838,1978,1950,2118,2212,2159,2284,2492,2661,2825,2969,3138,3326,3528,3724,3930
31,0.28442094477328694,0.2919509081132452,64.70060631115639,61.27101241933762,0.57,0.01,222,429,618,825,1020,1211,1398,1544,1630,1845,1977,1951,2117,2210,2154,2277,2483,2655,2818,2961,3131,3320,3523,3720,3928
32,0.2871180109906455,0.29568514315263705,64.57855787115992,61.10922717957064,0.58,0.01,224,433,622,831,1026,1219,1407,1552,1638,1852,1976,1952,2117,2208,2149,2270,2473,2648,2811,2952,3123,3314,3517,3716,3925
33,0.2949603071339645,0.29990029096886983,64.22236911943143,60.92609268229212,0.59,0.01,227,436,627,836,1033,1227,1416,1561,1646,1859,1976,1952,2117,2206,2144,2264,2464,2641,2804,2944,3116,3307,3512,3712,3923
34,0.30615607888009877,0.31151945804457837,63.71041011814219,60.41839998411597,0.61,0.01,229,440,631,841,1040,1235,1424,1569,1654,1867,1975,1951,2117,2204,2139,2257,2455,2634,2796,2936,3108,3301,3507,3709,3920
35,0.3100179179994442,0.316994776037023,63.53286589496908,60.17767069919913,0.62,0.01,231,444,636,846,1047,1244,1432,1578,1662,1874,1974,1951,2117,2201,2134,2251,2446,2627,2789,2927,3101,3295,3501,3705,3918
36,0.31917361892205853,0.3210379416942536,63.109934000371524,59.99929198801016,0.64,0.01,233,447,640,851,1054,1252,1441,1586,1670,1881,1974,1950,2117,2199,2130,2245,2438,2619,2782,2919,3093,3289,3496,3701,3915
37,0.3262508210819104,0.32872897023083225,62.781061395311525,59.65850285492107,0.65,0.01,235,451,644,856,1060,1260,1449,1595,1678,1888,1974,1950,2117,2197,2126,2238,2429,2611,2775,2910,3086,3283,3491,3698,3912
38,0.33031693385479766,0.33656165510974967,62.59133365593135,59.309418963048145,0.67,0.01,237,454,648,861,1067,1268,1458,1603,1685,1895,1975,1949,2116,2194,2121,2232,2421,2604,2768,2902,3078,3277,3485,3694,3910
39,0.3391583597720008,0.3409790414707228,62.176781425524915,59.11163630686432,0.68,0.01,240,458,653,866,1074,1276,1466,1611,1693,1901,1976,1949,2116,2192,2117,2226,2413,2596,2761,2894,3070,3272,3480,3690,3907
40,0.35001860140354635,0.35520806125952253,61.663761104831664,58.47001100991858,0.69,0.01,242,461,657,871,1081,1285,1474,1619,1701,1908,1978,1950,2116,2190,2113,2221,2405,2588,2754,2886,3063,3266,3474,3687,3904
41,0.3597976891811523,0.3640114165027942,61.19812854573251,58.06949424706035,0.71,0.01,244,465,661,876,1088,1293,1483,1627,1708,1914,1981,1951,2115,2188,2110,2215,2397,2580,2746,2877,3055,3261,3468,3683,3902
42,0.36741774521110737,0.3685618323548725,60.83283479390468,57.86138136205357,0.72,0.01,246,468,665,880,1095,1301,1491,1635,1716,1920,1984,1953,2114,2185,2106,2209,2390,2572,2739,2869,3048,3256,3463,3680,3899
43,0.36648612359759125,0.37349417872962043,60.87761280006284,57.63495118117348,0.74,0.01,249,472,669,885,1102,1310,1499,1643,1723,1926,1989,1955,2114,2183,2102,2204,2383,2563,2732,2861,3041,3251,3457,3676,3896
44,0.33469886453154907,0.3215181726228712,62.38621869614414,59.9780701297097,0.75,0.01,251,475,672,890,1109,1318,1507,1651,1731,1932,1994,1959,2113,2180,2098,2198,2376,2555,2725,2853,3035,3246,3452,3673,3893
