dataset,target_size,algorithm,time,metric1,metric2
GHISACONUS,5,PCAL,0.03,0.6492795389048991,0.5054462047277071
GHISACONUS,5,LASSO,0.12,0.6443804034582132,0.5056883691348922
GHISACONUS,5,MCUVE,1.01,0.5089337175792507,0.2841827022089914
GHISACONUS,5,SPA,7.38,0.6282420749279538,0.4835155247191256
GHISACONUS,5,BS-Net-FC,41.91,0.6118155619596541,0.4595248797716924
GHISACONUS,5,Zhang et al.,106.23,0.6259365994236312,0.475478679120118
GHISACONUS,5,BSDR,0.76,0.6602305475504323,0.5258199758714229
GHISACONUS,10,PCAL,0.03,0.6438040345821325,0.5032781978809626
GHISACONUS,10,LASSO,0.12,0.6706051873198848,0.5403437759695509
GHISACONUS,10,MCUVE,1.01,0.5158501440922191,0.3182845724006339
GHISACONUS,10,SPA,12.72,0.7008645533141211,0.5832457256741417
GHISACONUS,10,BS-Net-FC,41.91,0.645821325648415,0.5084375473573448
GHISACONUS,10,Zhang et al.,106.23,0.6674351585014409,0.5359050199002198
GHISACONUS,10,BSDR,0.68,0.6786743515850143,0.5502945574913094
GHISACONUS,15,PCAL,0.03,0.6351585014409221,0.4902257679219243
GHISACONUS,15,LASSO,0.12,0.6703170028818444,0.5400637232039551
GHISACONUS,15,MCUVE,1.02,0.6155619596541786,0.4648398295080428
GHISACONUS,15,SPA,17.81,0.7337175792507205,0.6285298895477905
GHISACONUS,15,BS-Net-FC,41.91,0.6979827089337177,0.5796059362108864
GHISACONUS,15,Zhang et al.,106.23,0.6925072046109509,0.570828671198443
GHISACONUS,15,BSDR,0.67,0.7095100864553314,0.5941189316534932
GHISACONUS,20,PCAL,0.03,0.6538904899135446,0.5175110280151282
GHISACONUS,20,LASSO,0.12,0.6881844380403457,0.564816293754655
GHISACONUS,20,MCUVE,1.03,0.6239193083573487,0.4765088788339445
GHISACONUS,20,SPA,22.69,0.7354466858789626,0.6306150142175904
GHISACONUS,20,BS-Net-FC,41.91,0.7008645533141211,0.5840293604141278
GHISACONUS,20,Zhang et al.,106.23,0.7089337175792507,0.593418570767804
GHISACONUS,20,BSDR,0.68,0.732564841498559,0.6266952117358345
GHISACONUS,25,PCAL,0.07,0.69164265129683,0.5702692238421121
GHISACONUS,25,LASSO,0.12,0.6853025936599423,0.5598345979279119
GHISACONUS,25,MCUVE,1.03,0.6417867435158502,0.5011013030873346
GHISACONUS,25,SPA,27.58,0.7351585014409221,0.630474983532235
GHISACONUS,25,BS-Net-FC,41.91,0.7112391930835735,0.5978539239489105
GHISACONUS,25,Zhang et al.,106.23,0.7201729106628242,0.6089111320349786
GHISACONUS,25,BSDR,0.68,0.7409221902017291,0.6385436009728152
GHISACONUS,30,PCAL,0.04,0.7014409221902017,0.5837333032599851
GHISACONUS,30,LASSO,0.12,0.6812680115273776,0.5543433923396346
GHISACONUS,30,MCUVE,1.03,0.6440922190201729,0.5039927691436147
GHISACONUS,30,SPA,33.19,0.7374639769452449,0.6332776676583873
GHISACONUS,30,BS-Net-FC,41.91,0.7216138328530259,0.6121649363915198
GHISACONUS,30,Zhang et al.,106.23,0.7276657060518732,0.6189009070202321
GHISACONUS,30,BSDR,0.7,0.7394812680115275,0.6364065764702748
Indian Pines,5,PCAL,0.04,0.5287577668128656,0.4465104337248873
Indian Pines,5,LASSO,0.6,0.5792603252923977,0.5173257705366759
Indian Pines,5,MCUVE,1.8,0.5205664443226121,0.4321379566413338
Indian Pines,5,SPA,18.7,0.5038023117690058,0.4300701012697356
