dataset,target_size,fold,algorithm,repeat,time,metric1,metric2,selected_features
ghisaconus,5,0,bsdr,0,3.450296,0.659942363112392,0.5215079522746661,19-49-71-91-108
ghisaconus,5,1,bsdr,0,2.628345,0.6484149855907781,0.5058307166119976,19-42-62-90-109
ghisaconus,5,2,bsdr,0,2.626513,0.659942363112392,0.5286303041466166,19-43-62-91-108
ghisaconus,5,3,bsdr,0,2.610671,0.6368876080691642,0.500422770172993,19-42-62-90-108
ghisaconus,5,4,bsdr,0,2.630308,0.6023054755043228,0.4431083406987022,19-43-62-90-108
ghisaconus,5,5,bsdr,0,2.616951,0.659942363112392,0.5291073441129792,19-43-62-90-108
ghisaconus,5,6,bsdr,0,2.61687,0.6455331412103746,0.5007836623935622,19-42-62-90-108
ghisaconus,5,7,bsdr,0,2.626603,0.7204610951008645,0.59939300166627,19-43-62-90-109
ghisaconus,5,8,bsdr,0,2.603668,0.7060518731988472,0.588991464901585,19-42-62-90-109
ghisaconus,5,9,bsdr,0,2.62936,0.6426512968299711,0.5110787900824945,19-42-62-90-108
ghisaconus,10,0,bsdr,0,2.619622,0.7435158501440923,0.6368542972378679,18-23-38-47-58-77-89-91-106-117
ghisaconus,10,1,bsdr,0,2.5965,0.723342939481268,0.6146184014160274,18-23-37-47-58-77-90-91-108-117
ghisaconus,10,2,bsdr,0,2.592981,0.6628242074927954,0.5329421915444349,18-23-38-47-58-77-90-91-107-117
ghisaconus,10,3,bsdr,0,2.625754,0.6743515850144092,0.5518794070924904,18-23-37-47-58-77-90-92-108-117
ghisaconus,10,4,bsdr,0,2.586726,0.6455331412103746,0.506657881961301,19-23-38-47-58-77-89-91-107-117
ghisaconus,10,5,bsdr,0,2.604854,0.6455331412103746,0.5075231347933445,18-23-37-47-58-77-89-91-107-117
ghisaconus,10,6,bsdr,0,2.609751,0.6570605187319885,0.5172159801709322,18-23-37-47-58-77-90-91-107-117
ghisaconus,10,7,bsdr,0,2.59306,0.723342939481268,0.6037210630249101,18-23-37-47-58-77-89-91-107-117
ghisaconus,10,8,bsdr,0,2.581151,0.6945244956772334,0.5744744848968637,19-23-37-47-58-77-90-91-107-117
ghisaconus,10,9,bsdr,0,2.598459,0.6858789625360231,0.5596036514368218,17-23-34-47-58-77-89-91-107-117
ghisaconus,15,0,bsdr,0,2.621052,0.7579250720461095,0.656949168500712,12-18-25-28-44-47-62-71-89-91-106-110-117
ghisaconus,15,1,bsdr,0,2.622811,0.7377521613832853,0.6324238120736618,12-18-25-28-44-47-62-70-86-90-91-107-115-118
ghisaconus,15,2,bsdr,0,2.618604,0.7031700288184438,0.5891083417640026,12-16-25-28-32-46-62-70-86-90-91-107-115-118
ghisaconus,15,3,bsdr,0,2.607327,0.6829971181556196,0.561773113971137,12-18-25-28-44-47-62-70-89-91-107-110-118
ghisaconus,15,4,bsdr,0,2.60034,0.7146974063400576,0.6008064516129032,12-18-25-28-44-47-62-64-71-89-90-91-106-111-118
ghisaconus,15,5,bsdr,0,2.529467,0.7031700288184438,0.5890374731226069,12-16-25-28-32-45-62-71-89-91-106-110-117
ghisaconus,15,6,bsdr,0,2.511825,0.6829971181556196,0.5533112544031082,12-16-25-28-33-45-62-63-70-86-89-91-107-117-120
ghisaconus,15,7,bsdr,0,2.513935,0.7550432276657061,0.651049985211476,12-16-25-28-40-47-62-63-71-89-91-106-111-118
ghisaconus,15,8,bsdr,0,2.60334,0.7348703170028819,0.6287129864390222,12-16-25-28-44-47-62-71-89-91-106-110-117
ghisaconus,15,9,bsdr,0,2.62161,0.6829971181556196,0.5608807694077584,12-18-25-28-43-47-62-70-87-91-106-110-118
ghisaconus,20,0,bsdr,0,2.628702,0.8011527377521613,0.7190019599328694,5-11-18-25-28-39-44-47-61-62-72-83-89-91-106-111-118-126
ghisaconus,20,1,bsdr,0,2.615446,0.7809798270893372,0.6945528671863237,12-18-25-28-39-44-47-61-62-71-72-81-89-90-91-106-109-117-126
ghisaconus,20,2,bsdr,0,2.634043,0.7175792507204611,0.6114488117001828,5-11-18-25-28-39-44-47-61-62-72-84-89-90-91-105-108-117-126
ghisaconus,20,3,bsdr,0,2.589323,0.6945244956772334,0.5774369578953416,6-11-18-25-28-39-45-46-57-62-70-72-84-89-91-106-109-118-126
ghisaconus,20,4,bsdr,0,2.609562,0.7060518731988472,0.5872516092919116,11-13-18-25-28-39-44-46-59-62-71-84-89-91-106-108-118-127
ghisaconus,20,5,bsdr,0,2.615843,0.7146974063400576,0.6057406493521398,5-11-18-25-28-39-44-46-57-62-70-72-86-89-91-105-107-118-125
ghisaconus,20,6,bsdr,0,2.606913,0.7204610951008645,0.604090946516579,5-11-18-25-28-39-44-46-59-62-63-72-84-89-91-106-108-118-126
ghisaconus,20,7,bsdr,0,2.659706,0.7406340057636888,0.6283514417298378,7-12-18-25-28-39-44-47-59-62-71-72-81-89-91-105-108-118-126
ghisaconus,20,8,bsdr,0,2.636632,0.7809798270893372,0.6961331059593493,6-12-18-25-28-39-44-46-59-62-71-72-81-89-90-91-104-108-118-125
ghisaconus,20,9,bsdr,0,2.641875,0.7204610951008645,0.61519378072482,4-11-18-25-28-39-44-47-61-62-71-72-82-88-91-105-108-119-126
ghisaconus,25,0,bsdr,0,2.691416,0.8011527377521613,0.7206673277722686,4-10-17-22-28-31-39-40-44-47-61-62-72-74-86-89-91-98-105-107-111-117-125
ghisaconus,25,1,bsdr,0,2.67196,0.8097982708933718,0.7334342082290637,4-11-18-23-28-31-39-40-44-46-61-62-72-77-86-89-90-91-101-106-110-113-118-126
ghisaconus,25,2,bsdr,0,2.667889,0.7348703170028819,0.6353126642143982,4-10-18-25-28-31-38-39-44-46-61-62-72-77-86-89-91-100-105-108-111-117-126
ghisaconus,25,3,bsdr,0,2.663372,0.7204610951008645,0.6152949378807447,4-10-19-28-31-39-40-45-47-61-62-72-77-86-89-91-98-106-109-112-118-125
ghisaconus,25,4,bsdr,0,2.67416,0.69164265129683,0.5688790320707833,4-10-18-21-28-31-38-40-44-46-61-62-72-77-84-89-91-98-106-109-114-118-125
ghisaconus,25,5,bsdr,0,2.682469,0.7002881844380403,0.5866729278097834,4-10-18-22-28-31-39-40-44-46-61-62-71-78-86-90-91-92-101-105-107-110-118-125
ghisaconus,25,6,bsdr,0,2.672562,0.7262247838616714,0.6114588121589288,4-10-18-25-28-29-39-40-44-47-59-62-71-77-86-89-91-98-107-110-114-118-125
ghisaconus,25,7,bsdr,0,2.669718,0.7550432276657061,0.6504089131207775,4-10-18-23-28-31-38-39-44-46-59-62-72-77-84-89-91-98-105-108-111-117-125
ghisaconus,25,8,bsdr,0,2.674674,0.7838616714697406,0.6979667154097904,4-10-18-22-28-31-39-40-44-46-61-62-72-77-86-89-91-99-104-107-110-117-125
ghisaconus,25,9,bsdr,0,2.678813,0.729106628242075,0.6273591372298131,4-10-18-23-28-31-39-40-44-46-61-62-71-77-84-88-91-98-105-107-114-118-126
ghisaconus,30,0,bsdr,0,2.775743,0.7780979827089337,0.6863635830075947,4-11-15-18-19-25-28-35-39-45-46-47-56-61-62-72-77-82-84-90-91-93-98-105-110-117-120-123-126
ghisaconus,30,1,bsdr,0,2.776113,0.7867435158501441,0.7008481289901674,4-11-16-18-19-25-28-39-40-45-47-61-62-72-76-82-85-90-92-99-105-108-117-120-123-126
ghisaconus,30,2,bsdr,0,2.78564,0.7406340057636888,0.6422393548165375,4-11-15-18-19-25-28-39-41-45-47-61-62-72-77-82-87-90-92-99-105-108-117-120-123-126
ghisaconus,30,3,bsdr,0,2.779933,0.7175792507204611,0.6111466861821342,5-11-15-18-19-25-28-39-41-45-47-59-62-72-77-82-88-90-92-99-106-109-117-120-123-126
ghisaconus,30,4,bsdr,0,2.781699,0.6887608069164265,0.5649407940561877,5-11-15-18-19-25-28-39-41-45-46-47-57-62-66-72-77-82-85-90-92-98-106-108-117-120-123-126
ghisaconus,30,5,bsdr,0,2.78383,0.7348703170028819,0.6330785587035228,5-11-14-18-25-28-35-39-45-46-47-59-62-63-72-77-82-88-90-92-101-105-108-117-120-123-126
ghisaconus,30,6,bsdr,0,2.78384,0.723342939481268,0.6084212011143633,5-11-16-18-19-25-28-39-40-45-47-59-62-72-77-83-88-90-91-92-99-104-108-117-120-123-126
ghisaconus,30,7,bsdr,0,2.771899,0.7550432276657061,0.6512521578735782,5-11-15-18-19-25-28-37-39-45-46-47-62-72-76-82-86-89-91-98-105-108-117-120-123-125
ghisaconus,30,8,bsdr,0,2.764129,0.7694524495677233,0.6790157717034364,4-11-16-19-25-28-39-40-45-46-47-59-62-72-77-82-87-90-91-98-104-108-117-120-123-126
ghisaconus,30,9,bsdr,0,2.771051,0.7031700288184438,0.5908487304530988,5-11-16-18-19-25-28-39-40-45-47-59-62-72-77-82-90-91-99-105-107-117-120-123-126
indian_pines,5,0,bsdr,0,3.133117,0.7524366471734892,0.7155735808365458,30-63-98-137-163
