dataset,target_size,algorithm,time,metric1,metric2,selected_features
ghisaconus,5,bsdr,0.76,0.6602305475504323,0.5258199758714229,18-49-71-91-108||18-42-62-90-109||18-43-62-90-109||18-43-62-90-109||18-43-62-90-109||18-42-62-90-109||18-42-62-90-109||18-42-62-90-109||18-42-62-90-109||18-43-62-90-109
ghisaconus,10,bsdr,0.68,0.6786743515850143,0.5502945574913094,17-23-37-47-58-77-89-91-106-118||16-23-37-47-58-77-90-91-108-117||16-23-37-47-58-77-90-91-107-117||16-23-37-47-58-77-90-91-108-118||16-23-36-47-58-77-89-91-107-118||16-23-37-47-58-77-89-90-107-118||16-23-37-47-58-77-90-91-107-118||16-23-37-47-58-77-89-91-106-118||16-23-37-47-58-77-90-106-118||16-23-36-47-58-77-90-91-106-118
ghisaconus,15,bsdr,0.67,0.7095100864553314,0.5941189316534932,11-17-25-28-44-47-63-72-88-91-107-110-118||11-16-24-28-44-47-62-63-71-86-90-91-107-117-118||11-16-25-28-32-47-62-71-86-90-91-107-117-118||11-18-25-28-44-47-62-71-88-90-91-107-110-118||11-17-25-28-44-47-62-71-89-90-91-106-110-118||11-16-24-28-31-47-62-71-89-90-91-106-110-117||11-16-24-28-32-47-62-63-71-86-90-91-107-117-118||11-16-25-28-41-47-62-63-71-88-91-107-110-118||11-16-25-28-44-47-62-71-89-91-107-110-117||11-18-25-28-44-47-62-71-88-91-106-110-118
ghisaconus,20,bsdr,0.68,0.732564841498559,0.6266952117358345,9-13-18-25-28-39-43-47-59-62-71-72-84-90-91-107-110-118-126||8-16-18-24-28-39-43-47-61-62-71-83-90-91-106-108-118-126||8-13-19-24-28-39-44-47-61-62-71-72-84-90-91-106-108-118-126||9-14-17-25-28-39-44-46-58-62-71-84-90-91-106-108-118-126||9-13-18-25-28-39-44-46-59-62-71-84-90-91-106-108-118-126||8-15-18-25-28-39-43-47-58-62-71-84-90-91-106-108-118-126||8-12-18-24-28-39-44-47-59-62-71-84-89-91-106-109-118-126||9-15-18-25-28-39-43-47-59-62-71-83-90-91-106-108-118-126||9-13-18-25-28-39-44-47-59-62-71-83-90-91-106-108-118-125||8-13-19-24-28-39-44-47-59-62-71-83-90-91-106-108-118-126
ghisaconus,25,bsdr,0.68,0.7409221902017291,0.6385436009728152,5-11-18-28-31-39-46-47-61-62-72-75-86-89-91-100-106-108-110-118-126||4-11-19-28-30-39-45-47-61-62-71-77-86-90-91-100-106-109-113-118-126||4-11-18-19-28-30-39-45-47-61-62-63-71-77-85-90-91-100-106-109-112-118-125||5-11-18-19-28-30-39-45-47-61-62-63-71-78-86-89-91-99-106-109-110-118-126||5-11-18-19-28-30-39-46-47-61-62-71-78-84-89-90-91-99-106-109-113-118-126||5-11-18-19-28-30-39-46-47-59-62-71-78-85-89-91-100-106-108-110-118-126||4-11-18-28-30-39-45-47-59-62-71-77-87-89-91-99-106-109-115-118-125||5-11-18-19-28-30-39-46-47-59-62-71-77-84-89-91-99-106-109-111-118-125||5-11-18-28-30-39-45-46-59-62-71-78-86-90-91-98-106-108-110-118-125||4-11-18-19-28-30-39-46-47-59-62-71-78-84-89-91-98-106-108-113-118-126
ghisaconus,30,bsdr,0.7,0.7394812680115275,0.6364065764702748,4-11-16-18-19-24-28-34-39-44-47-58-61-62-72-76-84-90-91-99-105-109-117-118-122-125||4-11-16-17-18-24-28-39-44-47-61-62-71-72-76-84-90-91-99-105-108-117-118-122-126||3-11-16-18-19-25-28-39-41-44-47-61-62-71-72-76-84-85-90-91-99-105-108-117-118-123-125||4-11-16-18-19-25-28-38-41-45-47-59-62-71-72-76-84-88-90-91-99-106-109-118-123-126||4-11-16-18-25-28-39-41-45-47-59-62-66-71-76-84-89-90-91-99-105-108-118-122-126||4-11-16-18-24-28-38-40-45-47-59-62-63-71-77-84-89-90-91-100-105-108-118-123-126||4-11-16-18-25-28-39-41-45-47-59-62-63-71-76-84-88-89-90-91-99-105-108-117-118-122-125||4-11-15-18-25-28-39-40-44-47-61-62-71-72-76-84-90-91-99-105-109-118-123-125||3-11-16-18-19-25-28-39-41-44-47-59-62-71-72-77-83-88-90-91-99-105-108-118-123-125||4-11-16-18-25-28-39-40-44-47-59-62-63-71-72-76-84-90-91-99-106-108-118-123-126
indian_pines,5,bsdr,0.78,0.7026635599415205,0.6596176796008537,30-63-98-138-163||30-63-98-140-164||30-63-98-140-164||30-63-98-138-163||30-63-98-139-163||30-63-98-140-164||30-63-98-139-163||30-63-98-140-163||30-63-98-140-163||31-63-98-139-163
indian_pines,10,bsdr,0.82,0.7356222587719298,0.6983190170534209,19-37-55-74-91-108-128-149-160-182||19-37-55-74-92-108-128-149-160-182||19-37-55-74-91-108-128-149-160-182||19-37-55-74-91-108-128-149-160-182||19-37-55-74-91-108-128-149-160-182||19-37-55-74-91-108-128-149-160-182||19-37-55-74-91-108-128-149-160-182||19-37-55-74-91-108-128-149-160-182||19-37-55-74-91-108-129-149-160-182||19-37-55-74-91-108-128-149-160-182
indian_pines,15,bsdr,0.86,0.744201921905458,0.7090064802211276,11-27-36-50-61-78-86-101-111-126-140-149-160-173-184||10-27-36-50-61-78-86-101-111-127-140-149-160-174-184||11-27-36-50-61-78-86-101-111-127-140-148-160-174-184||11-27-36-50-61-78-86-101-111-127-140-149-160-173-183||11-27-36-50-61-78-86-101-110-127-140-149-160-174-183||11-27-37-50-61-74-86-101-111-126-140-149-160-173-184||11-27-36-50-61-78-86-101-111-126-140-149-160-172-184||11-27-36-50-61-78-86-101-111-127-140-149-160-172-184||11-27-36-50-61-78-86-101-111-127-140-149-160-174-184||11-27-36-50-61-78-86-101-111-127-140-149-160-172-184
indian_pines,20,bsdr,0.92,0.7444014223927875,0.7086593295803831,8-23-28-35-46-56-63-77-85-91-106-110-127-131-140-149-160-167-179-186||9-21-28-35-46-55-63-77-86-92-106-109-128-131-140-149-160-167-178-186||9-21-27-35-46-56-63-77-85-99-106-110-127-134-140-148-160-167-178-186||9-21-28-35-46-56-63-77-85-99-106-109-127-131-140-149-160-167-178-186||9-22-28-35-46-55-63-78-86-92-106-110-127-128-140-149-160-168-178-185||9-21-28-35-46-56-62-77-86-97-106-110-128-134-140-149-160-168-178-186||9-21-28-36-46-55-63-77-85-92-106-110-127-128-140-149-160-167-178-186||9-21-27-36-46-56-63-77-85-92-106-110-127-134-140-149-160-167-178-186||9-21-27-35-49-56-63-77-85-99-106-110-127-134-140-149-160-167-178-186||8-21-28-35-46-55-63-78-85-91-106-109-127-136-140-149-160-167-178-186
