dataset,target_size,algorithm,time,metric1,metric2,selected_features
ghisaconus,5,bsdr,1.4,0.6585014409221902,0.5227709830002947,19-43-62-90-109||19-43-62-90-108||19-43-62-90-108||19-43-63-90-108||19-43-62-90-108||19-43-62-90-107||19-43-62-90-108||19-43-62-90-107||19-43-62-90-108||19-43-62-90-108
ghisaconus,10,bsdr,1.31,0.6904899135446685,0.5666708034555102,18-23-39-47-62-71-91-108-118||18-24-39-47-62-71-91-108-118||18-23-33-47-57-71-91-108-117||16-23-27-47-62-71-91-108-118||18-23-39-47-62-71-90-91-108-118||18-23-39-47-63-70-91-107-118||18-23-39-47-62-71-90-91-108-118||18-23-39-47-62-71-90-91-108-118||18-23-39-47-62-71-90-91-108-118||18-23-33-47-63-71-90-91-106-118
ghisaconus,15,bsdr,1.31,0.7164265129682997,0.6039959382101969,12-18-25-28-44-47-62-71-77-89-91-106-108-117||12-18-25-28-44-47-62-70-77-90-91-106-108-117||12-18-25-28-44-47-63-76-87-91-105-108-117||12-18-25-28-44-47-63-71-77-89-91-106-108-117||12-18-25-28-44-47-62-63-76-88-90-91-106-108-117||12-18-25-28-44-47-63-70-77-89-91-106-108-117||12-18-25-28-44-47-61-63-77-88-90-91-105-108-117||12-18-25-28-44-47-62-70-77-89-91-106-108-117||12-18-25-28-44-47-62-71-77-89-91-106-108-117||11-18-25-28-44-47-62-70-77-89-91-106-108-117
ghisaconus,20,bsdr,1.31,0.7224783861671471,0.6125429334753238,12-18-25-28-39-47-50-57-62-70-71-87-91-105-108-117-123||12-18-25-28-39-47-50-57-63-71-82-90-91-103-107-117-124||12-18-25-28-39-44-47-63-70-90-91-104-107-117-121||12-18-25-28-39-49-50-57-62-70-72-88-91-103-108-118-124||12-18-25-28-39-47-50-57-63-71-72-90-91-103-107-118-123||12-18-25-28-39-47-50-57-63-70-89-90-91-105-107-118-124||12-18-25-28-39-47-50-57-63-71-88-91-103-108-118-124||12-18-25-28-39-47-56-62-71-82-91-106-107-118-123||12-18-19-25-28-39-47-50-57-63-70-71-87-91-104-107-118-124||12-18-25-28-39-47-56-63-70-87-91-106-108-118-124
ghisaconus,25,bsdr,1.33,0.7331412103746398,0.6269880108245603,12-18-19-28-31-39-47-56-61-63-71-76-83-89-91-97-106-108-117-122||12-18-19-28-30-39-47-57-60-62-71-77-82-90-91-103-106-108-117-121||12-19-28-30-39-47-56-59-62-71-77-82-90-91-103-106-108-117||12-18-19-28-30-39-47-57-61-63-71-77-83-89-91-97-106-108-117-118||12-18-19-28-31-39-47-57-60-63-71-77-83-89-90-91-103-106-108-116-118||12-18-19-28-31-39-47-57-61-63-71-77-82-89-90-91-97-106-107-117-120||12-18-19-28-31-39-47-57-60-63-71-77-82-89-91-97-106-108-117-120||12-18-19-28-30-39-47-57-61-63-71-76-82-89-91-103-106-108-116-117||12-19-28-30-39-47-57-61-62-71-77-82-90-91-103-106-108-117-120||12-18-19-28-30-39-47-57-61-63-71-76-82-90-91-103-106-108-117-120
ghisaconus,30,bsdr,1.37,0.7380403458213255,0.6340070622841991,12-18-25-28-39-44-47-57-63-72-77-82-84-90-91-103-106-107-110-117-121||12-18-25-28-39-44-47-57-61-62-72-77-81-83-90-91-97-106-108-117-122||12-18-25-28-39-44-47-57-62-63-72-77-80-83-90-91-103-106-108-117-118-123||12-16-18-25-28-39-44-47-56-63-71-72-77-81-83-90-91-97-106-108-117-118-122||12-18-25-28-39-44-47-56-60-62-63-76-77-83-84-90-91-97-106-108-116-118-122||12-15-18-25-28-39-44-47-56-57-62-63-77-83-85-90-91-97-106-107-116-118-123||12-17-18-25-28-39-44-47-57-63-72-77-81-87-90-91-103-106-108-116-118-123||12-18-25-28-39-44-45-47-62-63-71-75-77-83-87-90-91-103-106-108-116-118-123||12-16-18-25-28-39-44-47-57-62-63-72-77-82-83-90-91-98-103-106-108-117-123||12-15-18-25-28-39-44-47-56-58-63-64-75-77-82-86-90-91-103-106-108-116-118-123
indian_pines,5,bsdr,1.56,0.7161283199317738,0.6750470383813345,30-63-99-139-164||30-63-99-139-165||30-63-98-139-164||28-63-99-140-164||27-63-100-139-164||28-63-100-140-164||28-63-101-139-164||28-63-99-139-164||28-63-100-139-165||28-63-100-139-164
indian_pines,10,bsdr,1.64,0.7167051200048733,0.6769552327816674,24-37-56-74-89-108-128-149-160-178||24-37-55-74-89-108-127-149-153-178||26-37-55-74-92-108-128-149-159-178||24-37-56-74-89-107-129-149-153-178||24-37-59-74-92-108-127-149-153-178||25-37-56-74-89-108-131-149-153-178||25-37-56-74-89-108-128-149-153-178||25-37-56-74-89-108-127-149-160-178||26-37-55-74-89-108-128-149-153-178||26-37-55-74-89-108-128-149-154-175
indian_pines,15,bsdr,1.72,0.742829404239766,0.7068750400439955,11-30-36-51-63-78-85-100-107-127-141-149-153-172-183||10-30-36-51-63-80-85-99-107-127-137-149-153-171-182||10-30-36-50-63-78-85-99-106-127-137-149-153-172-184||10-30-36-50-63-78-85-99-113-127-137-149-153-171-182||10-30-36-50-63-78-85-98-107-127-137-149-153-172-182||11-30-36-50-63-77-85-101-109-127-137-149-153-171-178||11-30-36-50-63-77-85-100-107-128-140-149-153-171-182||10-30-36-50-63-77-85-101-115-127-138-149-153-171-183||11-30-36-51-63-78-85-100-107-127-140-149-153-172-181||10-30-36-55-63-77-85-101-107-128-138-149-153-171-184
indian_pines,20,bsdr,1.83,0.7574610897904483,0.7234028249853142,9-24-30-36-46-55-74-77-85-95-99-110-126-127-140-149-160-166-171-184||9-25-27-36-48-59-74-77-85-94-100-110-126-127-140-149-160-166-171-182||9-25-29-36-47-58-74-78-85-94-99-109-126-127-140-148-159-167-172-184||8-24-28-36-49-58-74-77-85-94-99-109-126-127-140-149-160-167-172-181||9-24-28-36-47-58-74-78-85-91-99-109-126-127-140-149-159-167-172-184||9-25-29-36-47-58-74-77-85-94-100-109-126-127-140-148-160-166-172-184||9-25-27-36-49-59-74-77-85-94-100-109-126-127-140-149-159-163-171-184||9-25-27-36-46-59-74-77-85-94-101-115-126-127-140-149-160-163-172-184||8-25-31-36-47-58-74-77-85-91-100-110-126-127-140-148-160-166-172-184||9-25-27-36-50-58-74-78-85-92-100-109-126-127-138-148-159-164-172-184
indian_pines,25,bsdr,1.91,0.753560931408382,0.7193451455843797,10-16-24-30-36-47-56-63-71-78-85-89-94-107-109-126-131-140-149-153-154-161-172-178-182||10-16-24-30-36-50-56-63-64-78-85-91-92-109-111-127-140-149-153-154-164-171-178-182||11-16-24-30-36-50-53-64-71-78-85-91-92-107-109-127-140-148-153-154-161-172-181-182||10-16-24-30-36-50-58-63-72-78-86-92-107-109-127-129-140-149-153-154-161-171-182||11-16-24-30-36-46-58-63-71-78-85-92-95-107-109-127-140-149-153-154-160-172-181-182||10-16-24-30-36-50-55-62-63-78-85-92-94-107-120-127-140-149-153-154-160-172-178-182||11-16-24-30-36-52-53-64-71-78-85-89-91-107-109-126-127-140-149-153-154-159-172-178-181||10-16-24-30-36-44-58-63-72-78-85-92-94-109-110-126-127-140-148-152-154-166-171-178-182||10-16-24-30-38-46-53-63-66-78-86-92-107-109-126-127-140-149-153-154-162-172-178-182||10-16-25-31-36-50-55-63-71-78-85-91-92-108-109-120-127-140-149-153-154-162-173-178-182
indian_pines,30,bsdr,2.01,0.756487953825536,0.7222522211244865,9-13-24-30-31-40-48-53-58-66-74-77-85-89-99-100-106-109-126-127-138-140-149-153-163-171-172-183-184||8-11-24-30-31-40-46-53-58-68-74-78-85-89-94-101-109-110-126-138-140-149-153-154-163-172-176-183-185||8-11-24-30-31-38-50-53-58-63-74-78-86-89-98-100-107-111-126-127-137-138-149-153-154-160-172-176-178-184||10-11-24-30-32-38-47-55-59-63-74-78-85-89-99-100-107-119-127-137-138-149-153-154-160-172-178-184||9-11-24-27-31-38-46-55-59-63-74-78-85-89-95-98-108-109-126-127-137-149-153-154-160-172-176-178-184||10-13-23-27-31-40-46-55-59-63-74-78-79-89-94-102-108-111-126-127-137-149-153-154-163-171-172-178-184||9-13-24-30-31-40-46-55-58-64-74-78-80-89-93-100-108-119-126-127-138-140-149-153-154-161-171-172-178-184||9-13-24-27-31-38-47-53-57-63-72-78-79-89-99-100-107-126-127-138-149-152-153-160-171-172-178-184||9-11-24-30-31-38-46-53-58-66-74-78-85-89-92-102-107-126-127-138-140-149-152-154-161-171-172-178-184||10-13-24-30-31-40-48-53-58-66-74-78-79-89-99-100-108-109-126-127-137-138-149-153-159-160-172-173-183-185
lucas,5,bsdr,4.73,0.7332562264739939,39.14058891118329,552-1709-2019-3445||565-2018-3447||563-2018-3445||562-2018-3445||558-2018-3447||561-2018-3447||565-2018-3447||549-1875-2018-2020-3449||550-1880-2018-2019-3449||552-1718-2019-3448
lucas,10,bsdr,5.31,0.7423775251248738,38.47086990589939,550-1880-1892-1893-2019-2169-2177-3445||567-1671-2017-2018-2151-2171-3431||565-1892-1899-2017-2018-2150-2152-2647-3431||550-1880-1886-1913-2019-2169-2177-2181-3447||548-1886-1890-1912-2020-2167-2177-2185-3445||562-1890-1893-2018-2147-2150-2647-3431||567-1889-1897-2017-2018-2149-2152-2647-3431||565-1881-2018-2149-2153-2648-3435||565-1892-1905-2017-2018-2143-2149-2647-3431||567-1900-1901-2019-2156-2159-2171-3447
