epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0.01834045584045584,0.020833333333333332,-0.000985596008189038,-0.0013815274545749823,0.01,0.001,12,24,35,47,59,71,83,94,106,118
1,0.09027777777777778,0.10256410256410256,-0.07117522699079237,-0.07039802976186826,0.01,0.001,12,24,36,47,59,71,83,94,106,118
2,0.34935897435897434,0.3717948717948718,-0.018493211671202436,0.0017548298631232528,0.02,0.001,12,24,36,47,59,71,83,94,106,118
3,0.37535612535612534,0.38782051282051283,0.0,0.0,0.02,0.001,12,24,36,47,59,71,83,94,106,118
4,0.37535612535612534,0.38782051282051283,0.0,0.0,0.03,0.001,12,24,36,47,59,71,83,94,106,118
5,0.37535612535612534,0.38782051282051283,0.0,0.0,0.03,0.001,12,24,36,47,59,71,83,94,106,118
6,0.37535612535612534,0.38782051282051283,0.0,0.0,0.04,0.001,12,24,36,47,59,71,83,94,106,118
7,0.37535612535612534,0.38782051282051283,0.0,0.0,0.04,0.001,12,24,36,47,59,71,83,94,106,118
8,0.37535612535612534,0.38782051282051283,0.0,0.0,0.05,0.001,12,24,36,47,59,71,83,94,106,118
9,0.37535612535612534,0.38782051282051283,0.0,0.0,0.05,0.001,12,24,36,47,59,71,83,94,106,118
10,0.37535612535612534,0.38782051282051283,0.0,0.0,0.06,0.001,12,23,36,47,59,71,83,94,106,118
11,0.37535612535612534,0.38782051282051283,0.0,0.0,0.06,0.001,12,23,36,47,59,71,83,94,106,118
12,0.37535612535612534,0.38782051282051283,0.0,0.0,0.07,0.001,12,23,36,47,59,71,83,94,106,118
13,0.37535612535612534,0.38782051282051283,0.0,0.0,0.07,0.001,12,23,36,47,59,71,83,94,106,118
14,0.37535612535612534,0.38782051282051283,0.0,0.0,0.08,0.001,12,23,36,47,59,71,83,94,106,118
15,0.37535612535612534,0.38782051282051283,0.0,0.0,0.09,0.001,12,23,36,47,58,71,83,94,106,118
16,0.37535612535612534,0.38782051282051283,0.0,0.0,0.09,0.001,12,24,36,47,58,71,83,94,106,118
17,0.37535612535612534,0.38782051282051283,0.0,0.0,0.1,0.001,12,24,36,47,58,71,83,94,106,118
18,0.37535612535612534,0.38782051282051283,0.0,0.0,0.1,0.001,12,24,36,47,58,71,83,94,106,118
19,0.37535612535612534,0.38782051282051283,0.0,0.0,0.11,0.001,12,24,36,47,58,71,83,94,106,118
20,0.37535612535612534,0.38782051282051283,0.0,0.0,0.11,0.001,12,24,36,47,58,71,83,94,106,118
21,0.37535612535612534,0.38782051282051283,0.0,0.0,0.12,0.001,12,24,36,47,58,71,83,94,106,118
22,0.37535612535612534,0.38782051282051283,0.0,0.0,0.12,0.001,12,24,36,47,58,71,83,94,106,118
23,0.37535612535612534,0.38782051282051283,0.0,0.0,0.13,0.001,12,24,36,47,58,71,83,94,106,118
24,0.37535612535612534,0.38782051282051283,0.0,0.0,0.13,0.001,12,24,36,47,59,72,83,94,106,118
25,0.37535612535612534,0.38782051282051283,0.0,0.0,0.14,0.001,12,24,36,47,59,72,83,94,106,118
26,0.37535612535612534,0.38782051282051283,0.0,0.0,0.14,0.001,12,24,36,47,59,72,83,94,106,118
27,0.37535612535612534,0.38782051282051283,0.0,0.0,0.15,0.001,12,24,36,47,59,72,83,94,106,118
28,0.375,0.38782051282051283,-0.00036092274426313686,0.0,0.15,0.001,12,24,36,47,59,72,83,94,106,118
29,0.3751780626780627,0.38782051282051283,0.0013697974137986124,0.001792324829561709,0.16,0.001,12,24,36,47,59,72,83,94,106,118
30,0.3819444444444444,0.40064102564102566,0.01820268631731725,0.029048336231787708,0.16,0.001,12,24,36,47,59,72,83,93,106,118
31,0.40687321937321935,0.4310897435897436,0.07451384867833888,0.10149547949039317,0.17,0.001,12,24,36,47,59,72,83,93,106,118
32,0.4341168091168091,0.44711538461538464,0.13385949203992065,0.1456973352645886,0.17,0.001,12,24,36,46,59,72,83,93,106,118
33,0.45245726495726496,0.47435897435897434,0.17309419788815616,0.20298134323999106,0.18,0.001,12,24,36,46,59,72,83,93,106,118
34,0.46385327635327633,0.5032051282051282,0.19783481791202118,0.25593990283830614,0.18,0.001,12,24,36,46,59,72,83,93,106,118
35,0.4702635327635328,0.5112179487179487,0.21305597209814386,0.2724742831585747,0.19,0.001,12,24,37,46,59,72,83,93,106,118
36,0.47489316239316237,0.5112179487179487,0.22365950750125851,0.2739480410483347,0.19,0.001,12,24,37,46,59,72,83,93,106,118
37,0.4754273504273504,0.5016025641025641,0.22642023935767297,0.2602464015613565,0.2,0.001,12,24,37,46,59,72,83,93,106,118
