epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5
0,0.19768477292965272,0.1955128205128205,0.0024815738341662508,-0.003990346246670828,0.01,0.001,22,43,65,86,108
1,0.37916295636687447,0.34775641025641024,0.15435990746552675,0.12542442921588204,0.01,0.001,22,43,65,86,108
2,0.4300979519145147,0.39903846153846156,0.14961309951732216,0.12204016853827182,0.02,0.001,22,43,65,86,108
3,0.4338379341050757,0.3926282051282051,0.10809524378189195,0.06877773533939979,0.02,0.001,22,43,65,86,108
4,0.4341941228851291,0.39903846153846156,0.1057466782673071,0.0756541524459613,0.03,0.001,22,43,65,86,108
5,0.42564559216384684,0.3958333333333333,0.09423982370154416,0.07277543040928292,0.03,0.001,22,43,65,86,108
6,0.4188780053428317,0.38782051282051283,0.0851071426253025,0.062134088762983986,0.04,0.001,22,43,65,86,108
7,0.4201246660730187,0.38782051282051283,0.08754769647022909,0.062340686660163014,0.05,0.001,22,43,65,86,108
8,0.42101513802315227,0.38782051282051283,0.08847175013020492,0.06203075567028171,0.05,0.001,22,43,65,86,108
9,0.42226179875333925,0.391025641025641,0.09043443784139793,0.06714715092765977,0.06,0.001,22,43,65,86,108
10,0.42226179875333925,0.3894230769230769,0.09035503852756954,0.06489828668523145,0.06,0.001,22,43,65,86,108
11,0.42119323241317896,0.3894230769230769,0.08869247576467565,0.06500125849484006,0.07,0.001,22,43,65,86,108
12,0.4197684772929653,0.38782051282051283,0.08632962339709616,0.06254719355650629,0.07,0.001,22,43,65,86,108
13,0.41834372217275156,0.38782051282051283,0.08368612547659848,0.062134088762983986,0.08,0.001,22,43,64,86,108
14,0.41691896705253784,0.38461538461538464,0.08065874277132157,0.05670419651995906,0.08,0.001,22,43,64,86,108
15,0.41495992876224397,0.3814102564102564,0.07656089670933164,0.05053531164756164,0.09,0.001,22,43,64,86,108
16,0.4119323241317899,0.3782051282051282,0.06997117876913073,0.0442444339175746,0.09,0.001,22,43,64,86,108
17,0.4092609082813891,0.375,0.06385842951907539,0.038041931505549686,0.1,0.001,22,43,64,86,108
18,0.4046304541406946,0.3701923076923077,0.05500533489841142,0.029460653168484563,0.1,0.001,22,43,64,86,108
19,0.40071237756010686,0.3701923076923077,0.047843766045563396,0.02827616813542133,0.11,0.001,22,43,64,86,108
20,0.3985752448797863,0.36698717948717946,0.0433316751359184,0.02289737409615633,0.11,0.001,22,43,64,86,108
21,0.39572573463935884,0.36538461538461536,0.038014292775433334,0.020206185567010482,0.12,0.001,22,43,64,86,108
22,0.39305431878895813,0.36378205128205127,0.03307873897700864,0.017295547586556936,0.12,0.001,22,43,64,86,109
23,0.3896705253784506,0.36217948717948717,0.02710800794063617,0.014601320467242274,0.13,0.001,22,43,64,86,109
24,0.388780053428317,0.36217948717948717,0.025365547093792573,0.014272786447997343,0.13,0.001,22,43,64,86,109
25,0.38842386464826356,0.36217948717948717,0.024625118564851722,0.01416322642108614,0.14,0.001,22,43,64,86,109
26,0.3886019590382903,0.36217948717948717,0.024887597707033637,0.01416322642108614,0.15,0.001,22,42,64,86,109
27,0.3878895814781834,0.36217948717948717,0.02364351684032695,0.01416322642108614,0.15,0.001,22,42,64,86,109
28,0.3889581478183437,0.36217948717948717,0.02549876438819787,0.01416322642108614,0.16,0.001,22,42,64,87,109
29,0.390026714158504,0.36217948717948717,0.02748240377226907,0.01416322642108614,0.16,0.001,22,42,64,87,109
30,0.39198575244879785,0.36217948717948717,0.03101267352024728,0.014272786447997343,0.17,0.001,22,42,64,87,109
31,0.39447907390917186,0.36378205128205127,0.03547629439601674,0.017404686731504526,0.17,0.001,22,42,64,87,109
32,0.396260017809439,0.36698717948717946,0.03892847481215411,0.022680412371134162,0.18,0.001,22,42,64,87,109
33,0.3983971504897596,0.36698717948717946,0.04298508598313899,0.02322263612586195,0.18,0.001,22,42,64,87,109
34,0.40071237756010686,0.3685897435897436,0.04799052146073912,0.026127739134568118,0.19,0.001,22,42,64,87,109
35,0.4056990204808549,0.3717948717948718,0.057282123541101404,0.03235913097140686,0.19,0.001,22,42,64,87,109
36,0.4108637577916296,0.3798076923076923,0.06709515499636998,0.046180582984437835,0.2,0.001,22,42,64,87,109
37,0.4154942119323241,0.3814102564102564,0.07629755536834881,0.0494861959558649,0.2,0.001,22,42,64,87,109
38,0.422439893143366,0.3942307692307692,0.09350359789481322,0.07537436299490408,0.21,0.001,23,42,64,87,109
39,0.4390026714158504,0.40064102564102566,0.13028382479117784,0.0945012648797976,0.22,0.001,23,42,64,87,109
40,0.44968833481745324,0.4198717948717949,0.15857137321631032,0.13613400386255425,0.23,0.001,23,42,64,87,109
41,0.4580587711487088,0.4342948717948718,0.17886759342096203,0.1680125701594689,0.23,0.001,23,42,64,87,109
42,0.46482635796972394,0.4342948717948718,0.1950668738407343,0.17212452408961576,0.24,0.001,23,42,64,87,109
43,0.4678539626001781,0.4423076923076923,0.20323643969408478,0.18679104673240188,0.25,0.001,23,42,64,87,109
44,0.4731967943009795,0.4407051282051282,0.2137407492757628,0.1861792172557989,0.25,0.001,23,42,63,87,109
45,0.4756901157613535,0.44871794871794873,0.21950095552415727,0.2002056716184345,0.26,0.001,23,42,63,87,109
46,0.47782724844167407,0.4583333333333333,0.22477213715643052,0.21584723833318464,0.26,0.001,23,42,63,87,109
47,0.47853962600178096,0.453525641025641,0.22715867364048636,0.2102585039063224,0.27,0.001,23,42,63,87,109
48,0.4806767586821015,0.4583333333333333,0.2316233659547564,0.21827407404661914,0.27,0.001,23,42,63,87,109
49,0.48210151380231525,0.4583333333333333,0.23504229458921588,0.21827407404661914,0.28,0.001,23,42,63,87,109
50,0.4854853072128228,0.4599358974358974,0.24139232549786016,0.22123920023404897,0.28,0.001,23,42,63,87,109
51,0.48744434550311666,0.4599358974358974,0.24572848620880117,0.22123920023404897,0.29,0.001,23,42,63,87,109
52,0.49011576135351737,0.46153846153846156,0.2508182828963612,0.2238346265474146,0.3,0.001,23,42,63,87,109
53,0.49100623330365095,0.46153846153846156,0.2532588003780315,0.2241993672642505,0.3,0.001,23,42,63,87,109
54,0.4934995547640249,0.46474358974358976,0.2582431134479196,0.23018449775610839,0.31,0.001,23,42,63,87,109
55,0.4958147818343722,0.46794871794871795,0.26257802429335286,0.23614844311708427,0.31,0.001,23,42,63,87,109
56,0.49919857524487976,0.46794871794871795,0.2690542449709744,0.23777566833704944,0.32,0.001,23,42,63,87,109
57,0.5018699910952805,0.46794871794871795,0.2742170760410122,0.2382101055712651,0.32,0.001,23,42,63,87,109
58,0.5036509349955477,0.46955128205128205,0.2779032132212378,0.2411352989804354,0.33,0.001,23,42,63,87,109
59,0.506500445235975,0.47435897435897434,0.2829356769383655,0.25027198300335174,0.33,0.001,23,42,63,87,109
60,0.5097061442564559,0.47596153846153844,0.28855122664327515,0.25352298169366516,0.34,0.001,23,42,63,87,109
