epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0.10926394410312011,0.10400866738894908,0.010081931753263551,0.0063667320999931665,0.01,0.001,18,36,54,72,90,108,126,144,162,180
1,0.2408143597156969,0.24160346695557963,3.075628480986303e-05,0.0,0.02,0.001,18,36,54,72,90,108,126,144,162,180
2,0.2408143597156969,0.24160346695557963,0.0,0.0,0.02,0.001,18,36,54,72,90,108,126,144,162,180
3,0.2408143597156969,0.24160346695557963,0.0,0.0,0.03,0.001,18,36,54,72,90,108,126,144,162,180
4,0.2408143597156969,0.24160346695557963,0.0,0.0,0.04,0.001,18,36,54,72,90,108,126,144,162,180
5,0.2408143597156969,0.24160346695557963,0.0,0.0,0.04,0.001,18,36,54,72,90,108,126,144,162,180
6,0.2408143597156969,0.24160346695557963,0.0,0.0,0.05,0.001,18,36,54,72,90,108,126,144,162,180
7,0.2408143597156969,0.24160346695557963,0.0,0.0,0.06,0.001,18,36,54,72,90,108,126,144,162,180
8,0.2408143597156969,0.24160346695557963,0.0,0.0,0.06,0.001,18,36,54,72,91,108,126,144,162,180
9,0.2408143597156969,0.24160346695557963,0.0,0.0,0.07,0.001,18,36,55,72,91,109,126,144,162,180
10,0.2408143597156969,0.24160346695557963,0.0,0.0,0.08,0.001,18,36,55,72,91,109,126,144,162,180
11,0.2408143597156969,0.24160346695557963,0.0,0.0,0.08,0.001,18,36,55,72,91,109,126,145,162,180
12,0.2408143597156969,0.24160346695557963,0.0,0.0,0.09,0.001,18,36,55,72,91,109,125,145,162,180
13,0.2408143597156969,0.24160346695557963,0.0,0.0,0.1,0.001,18,36,55,72,91,109,125,145,162,180
14,0.2408143597156969,0.24160346695557963,0.0,0.0,0.1,0.001,18,36,55,71,91,108,125,145,162,180
15,0.2408143597156969,0.24160346695557963,0.0,0.0,0.11,0.001,18,36,55,71,91,108,125,145,162,180
16,0.2408143597156969,0.24160346695557963,0.0,0.0,0.11,0.001,18,36,55,71,91,108,125,145,161,180
17,0.2408143597156969,0.24160346695557963,0.0,0.0,0.12,0.001,18,36,55,71,91,108,125,145,161,180
18,0.2408143597156969,0.24160346695557963,0.0,0.0,0.13,0.001,18,36,55,71,91,108,125,145,161,180
19,0.2408143597156969,0.24160346695557963,0.0,0.0,0.13,0.001,19,36,55,71,91,108,125,145,161,180
20,0.2408143597156969,0.24160346695557963,0.0,0.0,0.14,0.001,19,36,55,71,91,108,125,145,161,180
21,0.2408143597156969,0.24160346695557963,0.0,0.0,0.15,0.001,19,36,55,71,91,108,125,145,161,180
22,0.2408143597156969,0.24160346695557963,0.0,0.0,0.15,0.001,19,36,55,71,91,108,125,145,161,180
23,0.2408143597156969,0.24160346695557963,0.0,0.0,0.16,0.001,19,35,55,71,91,108,125,145,161,180
24,0.2408143597156969,0.24160346695557963,0.0,0.0,0.17,0.001,19,35,55,71,91,108,125,145,161,180
25,0.2408143597156969,0.24160346695557963,0.0,0.0,0.17,0.001,19,35,55,72,91,108,125,145,161,180
26,0.2408143597156969,0.24160346695557963,0.0,0.0,0.18,0.001,19,35,55,72,91,108,125,145,161,180
27,0.2408143597156969,0.24160346695557963,0.0,0.0,0.19,0.001,19,35,55,72,91,108,125,145,161,180
28,0.2408143597156969,0.24160346695557963,0.0,0.0,0.19,0.001,19,36,55,72,91,108,125,145,161,180
29,0.2408143597156969,0.24160346695557963,0.0,0.0,0.2,0.001,19,36,55,72,91,108,125,145,161,180
30,0.2408143597156969,0.24160346695557963,0.0,0.0,0.21,0.001,19,36,55,72,91,108,124,145,161,180
31,0.2408143597156969,0.24160346695557963,0.0,0.0,0.21,0.001,19,36,55,72,91,108,124,145,161,180
32,0.2408143597156969,0.24160346695557963,0.0,0.0,0.22,0.001,19,36,55,72,91,108,124,145,161,180
33,0.24406697988194193,0.24268689057421453,0.005182549762000277,0.0018966496133216992,0.23,0.001,19,36,55,72,91,108,124,145,161,180
34,0.3249006143838092,0.3369447453954496,0.1261436550819114,0.1407580025919819,0.24,0.001,19,36,55,72,91,107,124,146,161,180
35,0.35790868570051804,0.36728060671722645,0.17454568168260676,0.18482873345935724,0.25,0.001,19,36,55,72,91,108,124,146,161,180
36,0.36043850138537525,0.3694474539544962,0.17927451233887048,0.18861187388416123,0.25,0.001,19,36,55,72,91,108,124,146,161,180
37,0.36200457776171546,0.37161430119176597,0.18270702414204776,0.19275478799521684,0.26,0.001,19,36,55,72,91,108,124,146,161,180
38,0.36200457776171546,0.37161430119176597,0.1844078989037563,0.19385975743813233,0.27,0.001,19,36,55,72,91,108,124,146,161,180
39,0.3623659800024093,0.37378114842903576,0.18696266299211006,0.19846813292808063,0.28,0.001,19,36,56,72,91,108,124,146,161,181
40,0.36248644741597397,0.37378114842903576,0.18909482424917567,0.20016731458590398,0.28,0.001,19,36,56,72,91,108,124,146,161,181
41,0.36248644741597397,0.37378114842903576,0.19060911912651235,0.20197988996622407,0.29,0.001,19,36,56,72,91,108,124,146,161,181
42,0.3626069148295386,0.37378114842903576,0.19169996350552365,0.20234141965387065,0.3,0.001,19,36,56,72,91,108,124,146,161,181
43,0.3626069148295386,0.37378114842903576,0.19240196173073876,0.2028229499917068,0.3,0.001,19,36,56,72,91,108,124,146,160,181
44,0.3626069148295386,0.37378114842903576,0.19279630014561455,0.20330389930006432,0.31,0.001,19,36,56,72,91,108,124,146,160,181
45,0.3626069148295386,0.37378114842903576,0.1931756696358946,0.20354415639672452,0.32,0.001,19,36,56,72,91,108,124,146,160,181
46,0.36248644741597397,0.37378114842903576,0.19338769078937146,0.20390427046369552,0.32,0.001,19,36,56,72,91,108,124,146,160,181
47,0.36248644741597397,0.37378114842903576,0.19366449906910221,0.20390427046369552,0.33,0.001,19,36,56,72,91,108,124,146,160,181
48,0.36248644741597397,0.37378114842903576,0.19385378476751525,0.20402423613069376,0.33,0.001,19,36,56,72,91,108,124,146,160,181
49,0.36224551258884474,0.37378114842903576,0.193782051825371,0.20402423613069376,0.34,0.001,19,36,56,73,91,108,124,146,160,181
50,0.36224551258884474,0.37378114842903576,0.1938548158107829,0.20402423613069376,0.35,0.001,19,36,56,73,91,108,124,146,160,181
