epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15
0,0.0020476993495543243,0.0021668472372697724,-4.9433930606745946e-05,-5.6468263071485225e-05,0.01,0.001,13,25,37,50,62,74,87,99,112,124,136,149,161,173,186
1,0.012647554806070826,0.011917659804983749,-0.00359797830105113,-0.003658007316014622,0.02,0.001,13,25,37,50,62,74,87,99,112,124,136,149,161,173,186
2,0.08865333654541074,0.08884073672806067,0.03353009358487802,0.036066644562745886,0.02,0.001,13,25,37,50,62,75,87,99,112,124,136,149,161,173,186
3,0.10238496747771621,0.09859154929577464,0.02861595025805541,0.02661442733413355,0.03,0.001,13,25,37,50,62,75,87,99,112,124,136,149,161,173,186
4,0.22681281618887014,0.2112676056338028,0.09422488443877752,0.08411197119074021,0.04,0.001,13,25,37,50,62,75,87,99,111,124,136,149,161,173,186
5,0.23536497229583234,0.2210184182015168,0.06513243010684244,0.05777146126728072,0.04,0.001,13,25,37,50,62,75,86,99,111,124,136,149,161,173,186
6,0.2366899542278969,0.22643553629469124,0.04898541528541345,0.05045667330892556,0.05,0.001,13,25,37,50,62,75,86,99,111,124,136,149,161,173,186
7,0.24126716453866537,0.2275189599133261,0.039546988482527023,0.03629036391406404,0.06,0.001,13,25,37,50,62,75,86,99,111,124,136,149,161,173,186
8,0.24198988195615515,0.228602383531961,0.01841942008411601,0.014558732015264919,0.06,0.001,13,25,37,50,62,75,86,100,111,124,136,148,161,173,186
9,0.24198988195615515,0.228602383531961,0.005187263034636014,0.004750777282894636,0.07,0.001,13,25,37,50,62,75,86,100,111,124,136,148,161,174,186
10,0.24198988195615515,0.228602383531961,0.0006176738978699303,0.0001491006794730465,0.08,0.001,13,25,37,50,62,75,86,100,111,124,137,148,161,174,185
11,0.24198988195615515,0.228602383531961,8.800154276400463e-05,0.0001491006794730465,0.08,0.001,13,25,37,50,62,75,86,100,111,124,137,148,161,174,185
12,0.24198988195615515,0.228602383531961,9.217348013568216e-05,0.0001886505400882088,0.09,0.001,13,25,37,50,62,75,86,100,111,124,137,148,161,174,185
13,0.24198988195615515,0.228602383531961,4.608886415324864e-05,0.0001886505400882088,0.1,0.001,13,25,37,50,62,75,86,100,111,124,137,148,161,174,185
14,0.24198988195615515,0.228602383531961,4.608886415324864e-05,0.0001886505400882088,0.1,0.001,13,25,37,50,63,75,86,100,111,125,137,148,161,174,185
15,0.24198988195615515,0.228602383531961,2.3044963134766228e-05,0.0001886505400882088,0.11,0.001,13,25,37,50,63,75,86,100,111,125,137,148,161,174,185
16,0.24198988195615515,0.228602383531961,2.3044963134766228e-05,0.0001886505400882088,0.12,0.001,13,25,37,50,63,75,86,100,111,125,137,148,161,174,185
17,0.24198988195615515,0.228602383531961,2.3044963134766228e-05,0.0001886505400882088,0.12,0.001,13,25,37,50,63,75,86,100,111,125,137,148,161,174,185
18,0.24198988195615515,0.228602383531961,2.3044963134766228e-05,0.0001886505400882088,0.13,0.001,13,25,37,50,63,75,86,100,111,125,137,148,161,174,185
19,0.24198988195615515,0.228602383531961,2.3044963134766228e-05,0.0001886505400882088,0.14,0.001,13,25,37,50,63,75,86,100,111,125,137,148,161,174,185
20,0.24198988195615515,0.228602383531961,2.3044963134766228e-05,0.0,0.14,0.001,13,25,37,50,63,75,86,100,111,125,137,148,161,174,185
21,0.24198988195615515,0.228602383531961,0.0,0.0,0.15,0.001,13,25,37,50,63,75,86,100,111,125,137,148,161,174,185
22,0.24198988195615515,0.228602383531961,0.0,0.0,0.16,0.001,13,25,37,50,62,75,86,100,111,125,137,148,161,174,185
23,0.24198988195615515,0.228602383531961,0.0,0.0,0.16,0.001,13,25,37,50,62,75,86,100,111,125,137,148,161,174,185
24,0.24198988195615515,0.228602383531961,0.0,0.0,0.17,0.001,13,25,36,51,62,75,86,100,110,125,137,148,161,174,185
25,0.24198988195615515,0.228602383531961,0.0,0.0,0.18,0.001,13,26,36,51,62,75,86,100,110,125,137,148,161,174,185
26,0.24198988195615515,0.228602383531961,0.0,0.0,0.18,0.001,13,26,36,51,62,75,86,101,110,125,137,148,161,174,185
27,0.24198988195615515,0.228602383531961,0.0,0.0,0.19,0.001,13,26,36,51,62,75,86,101,110,125,137,148,161,174,185
28,0.24198988195615515,0.228602383531961,0.0,0.0,0.19,0.001,13,26,36,51,62,75,86,101,110,125,137,148,161,174,185
29,0.24198988195615515,0.228602383531961,0.0,0.0,0.2,0.001,13,26,36,51,62,75,86,101,110,125,137,148,161,174,185
30,0.24198988195615515,0.228602383531961,0.0,0.0,0.21,0.001,12,26,36,51,62,75,86,101,110,125,137,148,161,174,185
31,0.24198988195615515,0.228602383531961,0.0,0.0,0.22,0.001,12,26,36,51,62,75,86,101,110,125,138,148,161,174,185
32,0.24198988195615515,0.228602383531961,1.8872448888873627e-05,0.0,0.23,0.001,12,26,36,51,62,75,86,101,110,125,138,148,161,174,185
33,0.24198988195615515,0.228602383531961,1.8872448888873627e-05,0.0001491006794730465,0.23,0.001,12,26,36,51,62,76,86,101,110,125,138,148,161,174,185
34,0.24198988195615515,0.228602383531961,1.8872448888873627e-05,0.0001491006794730465,0.24,0.001,12,26,36,51,62,76,86,101,110,125,138,148,161,174,185
35,0.24259214647072994,0.2296858071505959,0.0009076676577530751,0.0017022325258757576,0.25,0.001,12,26,36,51,62,76,86,101,110,125,138,148,161,174,185
36,0.28414839797639124,0.26652221018418204,0.0625000285019165,0.05465523345002554,0.26,0.001,12,26,36,51,62,76,86,101,110,125,138,148,161,174,185
37,0.34642254878342565,0.3293607800650054,0.15630634368060192,0.14690169025861566,0.26,0.001,12,26,36,51,62,76,86,101,110,125,138,148,160,174,185
38,0.3618405203565406,0.3477789815817985,0.1791801826189896,0.1734754591918699,0.27,0.001,12,26,36,51,62,76,86,101,110,125,138,148,160,174,185
39,0.36352686099735004,0.35102925243770317,0.1827777491715772,0.1787914706022149,0.28,0.001,12,26,36,51,62,76,86,101,110,125,138,148,160,174,185
40,0.3640086726090099,0.34994582881906827,0.18561032667246868,0.17968923582823537,0.28,0.001,12,26,36,51,62,76,86,101,110,125,138,148,160,174,185
41,0.36412912551192483,0.34994582881906827,0.18758022009539432,0.18099700083408754,0.29,0.001,12,26,36,51,62,76,86,101,110,125,138,148,160,174,185
42,0.36437003131775475,0.34994582881906827,0.19007893770055007,0.18265541059094403,0.3,0.001,12,26,36,51,62,76,86,102,110,125,138,148,160,174,185
43,0.36461093712358467,0.34994582881906827,0.1919031269491741,0.18454253101035445,0.3,0.001,12,26,36,51,62,76,86,102,110,124,138,148,160,174,185
44,0.36461093712358467,0.34994582881906827,0.1930483162529093,0.18513047035246266,0.31,0.001,12,26,36,51,62,76,86,102,110,124,138,148,160,174,185
45,0.3647313900264996,0.34994582881906827,0.19409446102913985,0.18595216256261904,0.32,0.001,12,26,36,51,62,76,86,102,110,124,138,148,160,174,185
46,0.36461093712358467,0.34994582881906827,0.19452637586980137,0.18665515235896435,0.32,0.001,12,26,36,51,62,76,86,102,110,124,138,148,160,174,185
