epoch,train_accuracy,validation_accuracy,train_kappa,validation_kappa,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25
0,0.016142633417660524,0.01950162513542795,-0.024306352242690954,-0.020232061068702345,0.01,0.001,8,15,23,31,38,46,53,61,69,76,84,91,99,107,114,122,129,137,145,152,160,168,175,183,190
1,0.014937959282014215,0.018418201516793065,-0.02163387483706347,-0.018277506368511443,0.02,0.001,8,15,23,31,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,168,175,183,190
2,0.0037344898205035537,0.0032502708559046588,-0.0010126155906637901,-0.00022497876836480302,0.03,0.001,8,15,23,31,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
3,0.13612817732803276,0.14409534127843987,0.052455544748270855,0.053527481542247846,0.03,0.001,8,15,23,31,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
4,0.13757378629080833,0.14517876489707476,0.04252922337378817,0.04232588538372206,0.04,0.001,8,15,23,31,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
5,0.13685098180942054,0.14517876489707476,0.0363624739478835,0.0377819941282328,0.05,0.001,8,15,23,30,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
6,0.13673051439585593,0.14409534127843987,0.03107495946222838,0.032002835610273506,0.05,0.001,8,15,23,30,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
7,0.12408143597156969,0.1267605633802817,0.00883303757021947,0.0039070449993037215,0.06,0.001,8,15,23,30,38,46,54,61,69,76,84,91,99,107,114,122,129,137,145,152,160,167,175,183,190
8,0.15961932297313577,0.15059588299024917,0.027079201600375802,0.01352324034287955,0.07,0.001,8,15,23,30,38,46,54,61,69,76,84,91,99,107,114,122,129,138,145,152,160,167,175,183,190
9,0.22322611733526082,0.23076923076923078,0.07074190683781378,0.08025537779661562,0.08,0.001,8,15,23,30,38,46,54,61,69,76,84,91,99,107,114,121,129,138,145,152,160,167,175,183,190
10,0.23226117335260812,0.22643553629469124,0.06734543254607384,0.06258561266306406,0.08,0.001,8,15,23,30,38,46,54,61,69,76,84,91,99,107,114,121,129,138,145,153,160,167,175,183,190
11,0.23816407661727504,0.23293607800650054,0.06353497239627637,0.061816803581119295,0.09,0.001,8,16,23,30,38,46,54,61,69,76,84,91,99,107,114,121,129,138,145,153,160,167,175,183,190
12,0.26526924466931695,0.26652221018418204,0.08178654129282781,0.08732255713444825,0.1,0.001,8,16,23,30,38,46,53,61,69,76,84,91,98,107,114,121,129,138,145,153,160,167,175,183,190
13,0.3315263221298639,0.3358613217768147,0.1459233012046084,0.15680126375714398,0.11,0.001,8,16,23,30,38,46,53,61,69,76,84,91,98,107,114,121,129,138,145,153,160,167,175,183,190
14,0.34875316226960607,0.3553629469122427,0.16391934775463202,0.17790491758615978,0.11,0.001,8,16,23,30,38,46,53,61,69,76,84,91,98,107,114,121,129,138,145,153,160,167,175,183,190
15,0.3518853150222865,0.3564463705308776,0.16715635295650366,0.17903588803687176,0.12,0.001,8,16,23,30,38,46,53,61,69,76,84,91,98,107,114,121,129,138,145,153,160,167,175,183,190
16,0.3541741958800145,0.35861321776814736,0.17044502118007832,0.18204013933651986,0.13,0.001,8,16,23,30,38,46,53,62,69,76,84,91,98,107,113,121,129,138,145,153,160,167,175,183,190
17,0.3554993374292254,0.35861321776814736,0.17236596268631754,0.1821527731004393,0.13,0.001,8,16,23,30,38,46,53,62,69,76,84,91,98,108,113,121,129,138,145,153,161,167,175,182,190
18,0.35586073966991927,0.35861321776814736,0.17293633062089242,0.1821527731004393,0.14,0.001,8,16,23,30,38,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
19,0.3559812070834839,0.35861321776814736,0.1731365378557984,0.1821527731004393,0.15,0.001,8,16,23,30,38,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
20,0.3559812070834839,0.35861321776814736,0.17312136202638917,0.1821527731004393,0.16,0.001,8,16,23,30,38,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
21,0.35610167449704855,0.35861321776814736,0.17329120741474802,0.1821527731004393,0.16,0.001,8,16,23,30,38,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
22,0.35610167449704855,0.35861321776814736,0.17330637984849706,0.1821527731004393,0.17,0.001,8,16,23,30,37,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
23,0.3562221419106132,0.35969664138678226,0.1734913840887118,0.18364668433584197,0.18,0.001,8,16,23,30,37,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
24,0.3562221419106132,0.35969664138678226,0.17353688619308383,0.18364668433584197,0.19,0.001,8,16,23,30,37,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
25,0.3567040115648717,0.35969664138678226,0.1742767199587878,0.18375906592707758,0.19,0.001,8,16,23,30,37,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
26,0.35730634863269484,0.3607800650054171,0.17523146766455222,0.18525234481014863,0.2,0.001,8,16,23,30,37,46,53,62,69,76,84,91,98,108,113,121,129,138,146,153,161,167,175,182,190
27,0.35730634863269484,0.3607800650054171,0.17532223696957816,0.18536447448925408,0.21,0.001,8,16,23,30,37,46,53,62,69,77,84,91,98,108,113,121,129,138,146,153,161,167,176,182,190
28,0.3577882182869534,0.3607800650054171,0.1762880553233478,0.18558864128183394,0.22,0.001,8,16,23,30,37,46,53,62,69,77,84,91,98,108,113,121,129,138,146,153,161,167,176,182,190
29,0.3582700879412119,0.361863488624052,0.17723798076475805,0.18741620393551905,0.22,0.001,8,16,23,30,37,46,53,62,69,77,84,91,97,108,113,121,129,138,146,153,161,167,176,182,190
30,0.3587519575954704,0.361863488624052,0.17815702839032233,0.1875279281810478,0.23,0.001,8,16,23,30,37,46,53,62,69,77,84,91,97,108,113,121,129,138,146,153,161,167,176,182,190
31,0.3591133598361643,0.361863488624052,0.1790413437739694,0.18797451810693133,0.24,0.001,8,16,23,30,37,46,53,62,69,77,84,91,97,108,113,121,129,138,146,153,161,167,176,182,190
32,0.3593542946632936,0.361863488624052,0.18004063695897798,0.18797451810693133,0.25,0.001,8,16,23,30,37,46,53,62,69,77,84,91,97,108,112,121,129,139,146,153,161,167,176,182,190
33,0.3598361643175521,0.3629469122426869,0.18152590545807556,0.19002099852696908,0.25,0.001,8,16,23,30,37,46,53,62,68,77,84,91,97,108,112,120,129,139,146,153,161,167,176,182,190
34,0.35959522949042283,0.3629469122426869,0.18274336633100807,0.19068772843383308,0.26,0.001,8,16,23,30,37,46,53,62,68,77,84,91,97,108,112,120,129,139,146,153,161,167,176,182,190
35,0.3598361643175521,0.3640303358613218,0.18483529313257374,0.1937233157583793,0.27,0.001,8,16,23,30,37,46,53,62,68,77,84,91,97,108,112,120,129,139,146,153,161,167,176,182,190
36,0.35995663173111675,0.3640303358613218,0.18709182218285814,0.1951557915846549,0.28,0.001,8,16,23,30,37,46,53,62,68,77,85,91,97,108,112,120,129,139,146,153,161,166,176,182,190
37,0.3598361643175521,0.3640303358613218,0.18898550312161833,0.1968023363550785,0.28,0.001,8,16,23,30,37,46,53,62,68,77,85,91,97,108,112,120,129,139,146,153,161,166,176,182,190
38,0.3598361643175521,0.3640303358613218,0.19058326318690222,0.19767774189201393,0.29,0.001,8,16,23,30,37,46,53,62,68,77,85,91,97,108,112,120,129,139,146,153,161,166,176,182,190
39,0.35959522949042283,0.3640303358613218,0.191389360135373,0.19844215789979802,0.3,0.001,8,16,23,30,37,46,52,62,68,77,85,91,97,108,112,120,129,139,146,153,160,166,176,182,190
40,0.35959522949042283,0.3640303358613218,0.1924388257731242,0.1992051186927174,0.3,0.001,8,16,23,30,37,46,52,62,68,77,85,91,97,108,112,120,129,139,146,153,160,166,176,183,191
41,0.3594747620768582,0.3640303358613218,0.19317408250879686,0.1998579300017278,0.31,0.001,8,16,23,30,37,46,52,62,68,77,85,91,97,108,112,120,129,139,146,153,160,166,176,183,191
42,0.3593542946632936,0.3640303358613218,0.19351607260846115,0.20029254655726436,0.32,0.001,8,16,23,30,37,46,52,62,68,77,85,91,97,108,112,120,129,139,146,154,160,166,176,183,191
43,0.35923382724972897,0.3640303358613218,0.19378514943133696,0.20083515374823557,0.33,0.001,8,16,23,30,37,46,52,62,68,77,85,91,97,108,112,120,129,139,147,154,160,166,176,183,191
44,0.3591133598361643,0.3640303358613218,0.19376408303346404,0.2010519905093764,0.33,0.001,8,16,23,30,37,46,52,62,68,77,85,91,96,108,112,120,129,139,147,154,160,166,176,183,191
45,0.3591133598361643,0.3640303358613218,0.1938510637260854,0.201268709634144,0.34,0.001,8,16,23,30,37,46,52,62,68,77,85,91,96,108,112,120,129,139,147,154,160,166,176,183,191
46,0.3591133598361643,0.3640303358613218,0.19392353330137113,0.2013770251127991,0.35,0.001,8,16,24,30,37,46,52,62,68,77,85,91,96,108,112,120,130,139,147,154,160,166,176,183,191
47,0.3591133598361643,0.3640303358613218,0.1939670087927431,0.20148531121824098,0.36,0.001,8,16,24,30,37,46,52,62,68,77,85,91,96,108,112,120,130,139,147,154,160,166,176,183,191
48,0.3591133598361643,0.3640303358613218,0.1939670087927431,0.20148531121824098,0.36,0.001,8,16,24,30,37,46,53,62,68,77,85,91,96,108,112,120,130,139,147,154,160,166,176,183,191
49,0.3591133598361643,0.3640303358613218,0.19398149958106914,0.2015935679624169,0.37,0.001,8,16,24,30,37,46,53,62,69,77,85,91,96,108,112,119,130,139,147,154,160,166,176,183,191
50,0.3591133598361643,0.3640303358613218,0.19398149958106914,0.2015935679624169,0.38,0.001,8,16,24,30,37,46,53,62,69,77,85,91,96,108,112,119,130,139,147,154,160,166,176,183,191
51,0.3591133598361643,0.3640303358613218,0.19401047959469286,0.2015935679624169,0.38,0.001,8,16,24,30,37,46,53,62,69,77,85,91,96,108,111,119,130,139,147,154,160,166,176,183,191
52,0.3591133598361643,0.3640303358613218,0.19401047959469286,0.2015935679624169,0.39,0.001,8,16,24,30,37,46,53,62,69,77,85,91,96,108,111,119,130,139,147,154,160,166,176,183,191
53,0.3591133598361643,0.3640303358613218,0.19403945752446616,0.2017017953572665,0.4,0.001,8,16,24,30,37,46,53,61,69,77,85,91,96,108,111,119,130,139,147,154,160,166,176,183,191
54,0.3591133598361643,0.3640303358613218,0.19408292051239828,0.20180999341472372,0.41,0.001,8,16,24,30,37,46,53,61,68,77,85,91,96,108,111,119,130,139,147,154,160,166,176,183,191
55,0.3591133598361643,0.3640303358613218,0.19411189323352884,0.20191816214671543,0.41,0.001,8,16,24,30,37,46,53,61,68,77,85,91,96,108,111,119,130,139,147,154,160,166,176,183,191
56,0.3591133598361643,0.3640303358613218,0.19419879889943548,0.20191816214671543,0.42,0.001,8,16,24,29,37,46,53,61,68,77,85,91,96,108,111,119,130,139,147,154,160,166,176,183,191
57,0.3591133598361643,0.3640303358613218,0.194256725597715,0.20191816214671543,0.43,0.001,8,16,24,29,37,46,53,61,68,77,85,91,96,108,111,119,130,139,147,154,160,166,176,183,191
58,0.3591133598361643,0.3640303358613218,0.19431464396823073,0.20191816214671543,0.44,0.001,8,16,24,29,37,46,53,61,68,76,85,91,96,108,111,119,130,139,147,154,160,166,176,183,191
59,0.3591133598361643,0.3640303358613218,0.19443045573315154,0.20191816214671543,0.44,0.001,8,16,24,29,37,46,53,61,68,76,85,91,96,108,111,119,130,139,147,154,160,166,176,183,191
60,0.3591133598361643,0.3640303358613218,0.194488349131147,0.20202630156516244,0.45,0.001,8,16,24,29,37,46,53,61,68,76,85,91,96,108,111,119,130,139,147,154,160,166,176,183,191
61,0.3593542946632936,0.3640303358613218,0.19499453907576547,0.20202630156516244,0.46,0.001,8,16,24,29,37,46,53,61,68,76,85,92,96,108,111,119,130,139,147,154,160,166,176,183,191
62,0.3605589687989399,0.3640303358613218,0.19702560363028032,0.20283406826070127,0.46,0.001,8,16,24,29,37,46,53,61,68,76,85,92,96,108,111,119,130,139,147,154,160,166,176,183,191
63,0.36200457776171546,0.36619718309859156,0.19918854489094717,0.20628819137692544,0.47,0.001,8,16,24,29,37,46,53,61,68,76,85,92,96,108,111,119,130,139,147,154,160,166,176,183,191
64,0.3629683170702325,0.36619718309859156,0.20086863735191596,0.20720650614686387,0.48,0.001,8,16,24,29,37,46,53,61,68,76,85,92,96,108,111,119,130,139,147,154,160,166,176,183,191
65,0.3646548608601373,0.36836403033586135,0.20350867196265177,0.21021377149273113,0.49,0.001,8,16,24,29,37,46,53,61,68,76,85,92,96,108,111,119,130,139,147,154,160,166,176,183,191
66,0.36670280689073603,0.37161430119176597,0.20665216661651697,0.21490009165902835,0.49,0.001,8,16,24,29,37,46,53,61,68,76,85,92,96,108,111,119,130,140,147,154,160,166,176,183,191
67,0.3697144922298518,0.3705308775731311,0.21119420929201227,0.2143069586175067,0.5,0.001,8,16,24,30,37,46,53,61,68,76,85,92,96,108,111,119,130,140,147,154,160,165,176,183,191
68,0.3742922539453078,0.37161430119176597,0.21778722000272244,0.2161737554229023,0.51,0.001,8,16,24,30,37,46,53,61,68,76,85,92,96,108,111,119,130,140,147,154,160,165,176,183,191
69,0.37718347187085893,0.37378114842903576,0.22202143395333296,0.21963071369121023,0.52,0.001,8,16,24,30,37,46,53,61,68,76,85,92,96,108,111,119,130,140,147,154,160,165,176,183,191
70,0.38007468979641007,0.37919826652221017,0.2264459866408971,0.22724038322450368,0.52,0.001,8,16,24,30,37,46,54,61,68,76,85,92,96,108,111,119,130,140,147,154,160,165,176,183,191
71,0.38356824478978435,0.38136511375947996,0.23144218099368163,0.23015359446095862,0.53,0.001,8,16,24,30,37,46,54,61,68,76,85,92,96,108,111,119,130,140,147,154,160,165,176,183,191
72,0.38657993012890013,0.38136511375947996,0.23585620433276966,0.2304728280469981,0.54,0.001,8,16,24,30,37,46,54,61,68,76,84,92,96,108,111,119,130,140,147,154,160,165,176,183,191
73,0.3891097458137574,0.38244853737811485,0.23956775514608242,0.23277495111056667,0.54,0.001,8,16,24,30,37,46,54,61,68,76,84,92,96,108,111,119,130,140,147,154,160,165,176,183,191
