epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0.069385536903112,0.07562571145189978,74.87719438040698,73.58314015876871,0.14,0.001,382,760,1136,1516,1893,2269,2649,3024,3402,3780
1,0.09201198503433372,0.09925057003941684,73.9613331991369,72.63674469362941,0.15,0.001,383,760,1136,1515,1894,2270,2649,3023,3402,3780
2,0.11394710584864032,0.12156341881658494,73.0625,71.7314463162775,0.17,0.001,383,760,1136,1515,1895,2270,2650,3023,3402,3779
3,0.1182021281905643,0.12553273108536156,72.8868517914068,71.5692000138677,0.18,0.001,383,760,1136,1514,1896,2269,2651,3022,3402,3779
4,0.12678673389363304,0.1344689569900741,72.53119614388349,71.20257467693847,0.19,0.001,384,760,1136,1514,1897,2268,2652,3021,3401,3779
5,0.14167458237385555,0.15038893858036018,71.91022574297935,70.54470684652748,0.21,0.001,384,759,1136,1514,1897,2267,2653,3020,3401,3778
6,0.1507711645447818,0.16055427554773327,71.52816452497925,70.12141743856687,0.22,0.001,384,759,1136,1515,1898,2267,2654,3019,3401,3778
7,0.15538688771000508,0.1658004430978356,71.33351054422108,69.90196120058077,0.24,0.001,385,758,1136,1515,1899,2266,2654,3018,3401,3778
8,0.16419100584523316,0.17502939575522247,70.96075128305964,69.51421841968735,0.25,0.001,385,758,1136,1515,1900,2265,2655,3018,3401,3778
9,0.17537726640288587,0.18648013312112943,70.48429013794492,69.03009349981897,0.26,0.001,385,757,1136,1515,1900,2264,2656,3017,3401,3777
10,0.1827065459410261,0.19390951784313282,70.17035980049732,68.71416679804828,0.28,0.001,386,757,1136,1515,1901,2263,2656,3016,3401,3777
11,0.18722617719622603,0.19854244395893184,69.9760666395572,68.51641782608567,0.29,0.001,386,756,1137,1515,1902,2263,2657,3015,3401,3777
12,0.19422646504723906,0.20598775926810897,69.67407031470711,68.19742423196789,0.3,0.001,386,755,1137,1515,1903,2262,2657,3014,3401,3777
13,0.20270164800663393,0.21516937481533072,69.3066808873791,67.80197570982907,0.32,0.001,387,755,1137,1516,1903,2262,2657,3013,3401,3777
14,0.2088669496285711,0.22198967117573232,69.03819566687342,67.50673071187975,0.33,0.001,387,754,1137,1516,1904,2262,2657,3012,3401,3776
15,0.2142670521382607,0.2277640652909767,68.80217480438027,67.2557429587801,0.34,0.001,387,753,1137,1517,1905,2263,2656,3011,3401,3776
16,0.2215444132518819,0.23503930452700983,68.48281533416795,66.93818568743106,0.36,0.001,388,753,1138,1518,1906,2263,2656,3011,3401,3776
17,0.22887438265766302,0.2420547305733396,68.1596349744022,66.63053667777822,0.37,0.001,388,752,1138,1518,1907,2263,2656,3010,3401,3776
18,0.23444591969120776,0.24732020056702075,67.91295482891132,66.39869074622256,0.39,0.001,388,751,1139,1519,1907,2264,2656,3009,3401,3776
19,0.24015817243920967,0.2529268137988483,67.65910790730616,66.15092828146858,0.4,0.001,389,751,1139,1519,1908,2264,2656,3008,3402,3776
20,0.2472854194946731,0.26030700612737867,67.34104185390028,65.82337205426163,0.41,0.001,389,750,1140,1520,1909,2264,2656,3007,3402,3776
21,0.25406533361977757,0.2674223917205599,67.03707725253615,65.50601564694269,0.43,0.001,390,749,1140,1521,1910,2264,2656,3006,3402,3776
22,0.26011329155119456,0.27371540521813154,66.76476384595583,65.22405419853744,0.44,0.001,390,749,1141,1521,1911,2263,2656,3005,3403,3776
23,0.2670843249041648,0.2807141516868389,66.44949694716469,64.90903340204274,0.45,0.001,390,748,1142,1522,1912,2263,2656,3004,3403,3776
24,0.27449383199425836,0.28806250317505533,66.11274845150896,64.57662221515422,0.47,0.001,391,747,1142,1523,1912,2263,2656,3003,3404,3776
25,0.28101706937022464,0.2945753235057469,65.81486299770174,64.28056635513956,0.48,0.001,391,746,1143,1523,1913,2262,2656,3002,3405,3776
26,0.28769757004427665,0.3013705824253359,65.50838597319049,63.97021554256715,0.49,0.001,391,746,1144,1524,1914,2262,2657,3002,3405,3777
27,0.29499945345244705,0.30894246854359175,65.1717532515046,63.62261322880804,0.51,0.001,392,745,1144,1525,1915,2262,2657,3001,3406,3777
28,0.30194043794064485,0.3160182462417125,64.85013899247826,63.29605343826245,0.52,0.001,392,744,1145,1526,1916,2263,2657,3000,3407,3777
29,0.3096165202149842,0.32383014164825386,64.49259965419482,62.93355871472708,0.53,0.001,392,743,1146,1526,1916,2263,2657,2999,3407,3777
30,0.3175462365059373,0.3316297523008205,64.12114693589783,62.569537488176906,0.55,0.001,393,743,1147,1527,1917,2263,2657,2998,3408,3777
31,0.32428739713783195,0.3382404177256303,63.803673024413335,62.259339394157365,0.56,0.001,393,742,1148,1528,1918,2263,2657,2997,3409,3777
32,0.33116077407511724,0.3450362915467693,63.47833699442767,61.938830318079745,0.57,0.001,394,741,1149,1529,1919,2263,2657,2997,3409,3777
