epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,lr,band_1,band_2,band_3,band_4,band_5
0,0,0,78.31610688521391,70.8492292212837,0.14,0.001,696,1390,2080,2772,3465
1,0.02282420693609244,0.031916611836568576,75.94857493828472,68.49803971875764,0.15,0.001,695,1391,2080,2772,3464
2,0.0603219621353388,0.0664554179375132,74.47710297257473,67.26502431497182,0.16,0.001,695,1391,2080,2771,3464
3,0.06847928554282956,0.06916900256498393,74.15313546978307,67.16719533303628,0.17,0.001,694,1392,2080,2770,3463
4,0.09723961462860176,0.10294434919542261,72.99943813996104,65.93734819295321,0.18,0.001,694,1392,2081,2769,3463
5,0.12761797255638296,0.14241075062033937,71.76069035124662,64.47056014181977,0.2,0.001,693,1393,2082,2768,3462
6,0.1367311252132405,0.15600652245652802,71.3848914993572,63.957474885661334,0.21,0.001,693,1393,2083,2767,3462
7,0.14229951400947027,0.16219494109747978,71.15429084369227,63.72256609465363,0.22,0.001,692,1394,2084,2766,3461
8,0.1585351560396897,0.17777219435132208,70.47762208562197,63.12739398307006,0.23,0.001,692,1395,2085,2765,3461
9,0.17132551100396265,0.18727996201010444,69.93993656390103,62.761348108579135,0.24,0.001,691,1395,2086,2764,3460
10,0.1734560423937166,0.18445579914379673,69.8499717586736,62.870299510554865,0.26,0.001,691,1396,2087,2763,3460
11,0.17740633210356993,0.18657747781343526,69.68285438551223,62.788465162176685,0.27,0.001,690,1396,2088,2762,3459
12,0.18762696196567352,0.19929254513462336,69.24860036378894,62.2957894312238,0.28,0.001,689,1397,2089,2761,3459
13,0.1930840974814546,0.2075491207040172,69.01561615632725,61.97377296208655,0.29,0.001,689,1397,2090,2760,3459
14,0.19270334196541705,0.20773903559629137,69.0319007438771,61.96634671335724,0.3,0.001,688,1398,2091,2759,3458
15,0.1962677646802421,0.21030577932947203,68.87933147677538,61.86588869153784,0.31,0.001,688,1399,2092,2758,3458
16,0.20285065817708325,0.21447461510207988,68.59667918005397,61.70237520119262,0.32,0.001,687,1399,2093,2757,3458
17,0.20513942017128828,0.21303001333625515,68.49812882366751,61.75908492126887,0.34,0.001,686,1400,2094,2756,3457
18,0.20570847052246655,0.21104502390207858,68.47360634306477,61.83692404851045,0.35,0.001,686,1400,2095,2755,3457
19,0.21044869108467612,0.21657638495602782,68.26898488241201,61.61977625869697,0.36,0.001,685,1401,2096,2754,3457
20,0.21582534516814023,0.2245293229090315,68.03613398293402,61.30621025651174,0.37,0.001,684,1402,2097,2753,3456
21,0.21802899286332356,0.22868115708161063,67.94047544082247,61.14187482750161,0.38,0.001,684,1402,2098,2752,3456
22,0.22084665400436698,0.23216632538025983,67.81796132962307,61.00358596017123,0.39,0.001,683,1403,2099,2751,3456
23,0.22620421624496678,0.2369749808726621,67.58439819149277,60.812263135458544,0.4,0.001,683,1403,2100,2750,3456
24,0.2302625530878607,0.2394632657663508,67.40693091913843,60.71302404807802,0.42,0.001,682,1403,2101,2749,3456
25,0.23258261863655838,0.24055470421990055,67.3052674271301,60.66944649723821,0.43,0.001,681,1404,2102,2748,3456
26,0.2366813687573851,0.24546732239270208,67.1252873306234,60.47290239295717,0.44,0.001,681,1404,2103,2747,3455
27,0.24184379971849412,0.25304960632197937,66.89791517444695,60.16828816237525,0.45,0.001,680,1405,2103,2746,3455
28,0.24534482838298932,0.25880878897845616,66.74327710760463,59.93588289659,0.46,0.001,679,1405,2104,2745,3455
29,0.24860019120814236,0.2632353379721273,66.59916463791983,59.756639438904614,0.47,0.001,679,1406,2105,2744,3455
30,0.253171485434561,0.2678215733663085,66.39627498611085,59.57035911883422,0.48,0.001,678,1406,2106,2743,3455
31,0.2571169832175928,0.2708642864993249,66.22065240306456,59.446451662268075,0.5,0.001,677,1407,2107,2742,3455
32,0.259925026222122,0.2728708550217702,66.09537896928764,59.36459818425561,0.51,0.001,677,1407,2107,2740,3455
33,0.2635281241346231,0.27703769532236555,65.93428976190044,59.19426027258682,0.52,0.001,676,1408,2108,2739,3456
34,0.26749789006911184,0.2826572589907953,65.75634920627436,58.963752603559335,0.53,0.001,675,1408,2109,2738,3456
35,0.27047162287566395,0.28704962934034695,65.62273805625608,58.78295701269416,0.54,0.001,675,1409,2110,2737,3456
36,0.27351396867977185,0.2905248258763041,65.4857637498888,58.63951337875234,0.55,0.001,674,1409,2110,2736,3456
37,0.2772489795125601,0.2936615394142842,65.31720975841665,58.50974394678847,0.56,0.001,673,1410,2111,2735,3456
38,0.28043676946086094,0.29575697020790015,65.1730044405849,58.422890469912346,0.58,0.001,673,1410,2112,2734,3456
39,0.28337279084981803,0.29829409358855474,65.03990286619246,58.317557390549204,0.59,0.001,672,1410,2112,2733,3457
40,0.2870483911462096,0.30285589280382874,64.87289631102692,58.12768810988443,0.6,0.001,671,1411,2113,2732,3457
41,0.2904590715028271,0.3076391815133014,64.71753529763012,57.92792952912481,0.61,0.001,671,1411,2114,2731,3457
42,0.29346820123040285,0.3112770596159711,64.58015701194525,57.77554350877519,0.62,0.001,670,1412,2114,2730,3457
43,0.2971757310399954,0.3145579628611106,64.41049537196946,57.63776804047412,0.63,0.001,669,1412,2115,2729,3458
44,0.30069572919735876,0.31703274860341324,64.24899303077636,57.533622133333914,0.65,0.001,668,1413,2115,2728,3458
45,0.30373114516518274,0.3196638444183115,64.10940356141211,57.4226934465482,0.66,0.001,668,1413,2116,2727,3458
46,0.3077662689848679,0.3245801118239817,63.92336644251263,57.21484148311083,0.67,0.001,667,1414,2117,2726,3459
47,0.31080638284240913,0.3281718293949847,63.78284616449591,57.06251069619287,0.68,0.001,666,1414,2117,2725,3459
48,0.31433165904720317,0.3312169306333651,63.61950875738707,56.9330447282705,0.69,0.001,665,1415,2118,2724,3459
49,0.31781785944473995,0.33350290464493393,63.45756879292946,56.83565990052482,0.7,0.001,665,1415,2118,2724,3460
50,0.3209400159207437,0.335881075351124,63.31218765347435,56.734168444955856,0.71,0.001,664,1416,2119,2723,3460
51,0.32460464846947634,0.3401348276862334,63.141121858351944,56.552183106070274,0.73,0.001,663,1416,2119,2722,3461
52,0.3279356484069966,0.34442046731253817,62.985223884133134,56.36823944357984,0.74,0.001,662,1416,2120,2721,3461
53,0.3312691491101005,0.34785853795387245,62.82882444897903,56.22023518049351,0.75,0.001,662,1417,2120,2720,3462
54,0.3347602812876874,0.35053613646311754,62.66460940183362,56.104701664193215,0.76,0.001,661,1417,2121,2720,3462
55,0.3378879008529113,0.3529253194405585,62.51712655969762,56.00141251008763,0.77,0.001,660,1418,2121,2719,3462
56,0.34138243886744357,0.3567659568566065,62.35193007111929,55.83497063053316,0.78,0.001,659,1418,2121,2718,3463
57,0.34464936517456335,0.3605912510587711,62.197098034444096,55.66869772367591,0.79,0.001,659,1419,2122,2718,3463
58,0.34798965231784773,0.36368101076503867,62.03838513749975,55.53403068797658,0.81,0.001,658,1419,2122,2717,3463
59,0.3513982854940315,0.3661276052447441,61.876008119944,55.427167512308436,0.82,0.001,657,1420,2123,2716,3464
60,0.35470598619196214,0.36889915263269124,61.71803203696327,55.305858976327045,0.83,0.001,656,1420,2123,2716,3464
